model,location,target_type,weights,forecast_date,nmod
epiforecasts-EpiNow2,FI,Cases,0.345538863577102,2021-04-12,3
epiforecasts-EpiNow2,FI,Deaths,0.295226949536619,2021-04-12,3
epiforecasts-EpiNow2,GR,Cases,0.307487708275921,2021-04-12,3
epiforecasts-EpiNow2,GR,Deaths,0.365700246817105,2021-04-12,3
epiforecasts-EpiNow2,HR,Cases,0.325276517987548,2021-04-12,3
epiforecasts-EpiNow2,HR,Deaths,0.465426890948069,2021-04-12,3
epiforecasts-EpiNow2,HU,Cases,0.442845600320654,2021-04-12,3
epiforecasts-EpiNow2,IT,Cases,0.487857548881739,2021-04-12,3
epiforecasts-EpiNow2,IT,Deaths,0.420025392470632,2021-04-12,3
epiforecasts-EpiNow2,LT,Deaths,0.385464576339812,2021-04-12,3
epiforecasts-EpiNow2,LU,Deaths,0.324619756352057,2021-04-12,3
epiforecasts-EpiNow2,LV,Cases,0.362875170000806,2021-04-12,3
epiforecasts-EpiNow2,LV,Deaths,0.489114744181735,2021-04-12,3
epiforecasts-EpiNow2,MT,Cases,0.47162411604055,2021-04-12,3
epiforecasts-EpiNow2,MT,Deaths,0.403314523790089,2021-04-12,3
epiforecasts-EpiNow2,NO,Cases,0.361036014932383,2021-04-12,3
epiforecasts-EpiNow2,PT,Cases,0.4053996848287,2021-04-12,3
epiforecasts-EpiNow2,PT,Deaths,0.344496976455332,2021-04-12,3
epiforecasts-EpiNow2,RO,Cases,0.384464856014829,2021-04-12,3
epiforecasts-EpiNow2,RO,Deaths,0.57859973033566,2021-04-12,3
epiforecasts-EpiNow2,SI,Cases,0.380474449773799,2021-04-12,3
epiforecasts-EpiNow2,SI,Deaths,0.428639426305607,2021-04-12,3
epiforecasts-EpiNow2,SK,Deaths,0.296134392937434,2021-04-12,3
DSMPG-bayes,BG,Cases,0.269293677148175,2021-04-19,3
DSMPG-bayes,CY,Cases,0.343857526249526,2021-04-19,3
DSMPG-bayes,EE,Cases,0.281045044666452,2021-04-19,3
DSMPG-bayes,FI,Cases,0.276955839284811,2021-04-19,3
DSMPG-bayes,HU,Cases,0.332872951476349,2021-04-19,3
DSMPG-bayes,LT,Cases,0.372446347368039,2021-04-19,3
DSMPG-bayes,LV,Cases,0.43358027130801,2021-04-19,3
DSMPG-bayes,MT,Cases,0.221555768698967,2021-04-19,3
DSMPG-bayes,NO,Cases,0.289139878449684,2021-04-19,3
IEM_Health-CovidProject,AT,Cases,0.307878418672759,2021-04-19,3
IEM_Health-CovidProject,AT,Deaths,0.26406042855953,2021-04-19,3
IEM_Health-CovidProject,BE,Cases,0.354032966074696,2021-04-19,3
IEM_Health-CovidProject,BE,Deaths,0.344091253029269,2021-04-19,3
IEM_Health-CovidProject,CY,Cases,0.297760270869334,2021-04-19,3
IEM_Health-CovidProject,ES,Cases,0.486032823626143,2021-04-19,3
IEM_Health-CovidProject,FI,Deaths,0.308089511107553,2021-04-19,3
IEM_Health-CovidProject,GR,Cases,0.327091914467584,2021-04-19,3
IEM_Health-CovidProject,GR,Deaths,0.262226811832518,2021-04-19,3
IEM_Health-CovidProject,HR,Cases,0.363679810422723,2021-04-19,3
IEM_Health-CovidProject,LT,Deaths,0.285351974163568,2021-04-19,3
IEM_Health-CovidProject,MT,Deaths,0.296214832178825,2021-04-19,3
IEM_Health-CovidProject,PT,Deaths,0.338501263055775,2021-04-19,3
IEM_Health-CovidProject,SI,Cases,0.338992201551931,2021-04-19,3
IEM_Health-CovidProject,SK,Cases,0.381965797278883,2021-04-19,3
IEM_Health-CovidProject,SK,Deaths,0.397028421051653,2021-04-19,3
ILM-EKF,BE,Cases,0.335693609126996,2021-04-19,3
ILM-EKF,CY,Cases,0.35838220288114,2021-04-19,3
ILM-EKF,ES,Cases,0.199526140391682,2021-04-19,3
ILM-EKF,GR,Cases,0.382981982796259,2021-04-19,3
ILM-EKF,HR,Cases,0.313457918867513,2021-04-19,3
ILM-EKF,IT,Cases,0.281268238054952,2021-04-19,3
ILM-EKF,IT,Deaths,0.286620115225203,2021-04-19,3
ILM-EKF,LT,Cases,0.284168757703417,2021-04-19,3
ILM-EKF,LU,Deaths,0.330383540995781,2021-04-19,3
ILM-EKF,LV,Cases,0.313614596607165,2021-04-19,3
ILM-EKF,PT,Cases,0.370150616961247,2021-04-19,3
ILM-EKF,RO,Cases,0.255331387017817,2021-04-19,3
ILM-EKF,SI,Cases,0.343942097172539,2021-04-19,3
ILM-EKF,SK,Cases,0.265069905798459,2021-04-19,3
RobertWalraven-ESG,BG,Deaths,0.383435830486618,2021-04-19,3
RobertWalraven-ESG,EE,Deaths,0.37610116544488,2021-04-19,3
RobertWalraven-ESG,FI,Deaths,0.398630263857372,2021-04-19,3
RobertWalraven-ESG,GR,Deaths,0.381469100259284,2021-04-19,3
RobertWalraven-ESG,IT,Deaths,0.264442674102232,2021-04-19,3
RobertWalraven-ESG,LU,Deaths,0.308267969930677,2021-04-19,3
RobertWalraven-ESG,RO,Deaths,0.290779799378918,2021-04-19,3
RobertWalraven-ESG,SI,Deaths,0.356345259153624,2021-04-19,3
UMass-MechBayes,BE,Deaths,0.33468834289323,2021-04-19,3
UMass-MechBayes,BG,Deaths,0.340406332601178,2021-04-19,3
UMass-MechBayes,CY,Deaths,0.319028430283141,2021-04-19,3
UMass-MechBayes,EE,Deaths,0.281108836742175,2021-04-19,3
UMass-MechBayes,HR,Deaths,0.288026197151147,2021-04-19,3
UMass-MechBayes,HU,Deaths,0.32022410769966,2021-04-19,3
UMass-MechBayes,LT,Deaths,0.360933780888126,2021-04-19,3
UMass-MechBayes,LV,Deaths,0.247701143810908,2021-04-19,3
UMass-MechBayes,MT,Deaths,0.264602362848787,2021-04-19,3
UMass-MechBayes,PT,Deaths,0.338466820868266,2021-04-19,3
