location,target_type,forecast_date,model,nmod
AT,Cases,2021-07-12,ILM-EKF,3
AT,Cases,2021-07-12,epiforecasts-EpiNow2,3
AT,Cases,2021-07-12,MUNI-ARIMA,3
AT,Cases,2021-07-19,epiforecasts-EpiNow2,3
AT,Cases,2021-07-19,MUNI-ARIMA,3
AT,Cases,2021-07-19,RobertWalraven-ESG,3
AT,Cases,2021-07-26,IEM_Health-CovidProject,3
AT,Cases,2021-07-26,MUNI-ARIMA,3
AT,Cases,2021-07-26,RobertWalraven-ESG,3
AT,Cases,2021-08-02,IEM_Health-CovidProject,3
AT,Cases,2021-08-02,MUNI-ARIMA,3
AT,Cases,2021-08-02,RobertWalraven-ESG,3
AT,Cases,2021-08-09,IEM_Health-CovidProject,3
AT,Cases,2021-08-09,MUNI-ARIMA,3
AT,Cases,2021-08-09,RobertWalraven-ESG,3
AT,Cases,2021-08-16,IEM_Health-CovidProject,3
AT,Cases,2021-08-16,MUNI-ARIMA,3
AT,Cases,2021-08-16,RobertWalraven-ESG,3
AT,Cases,2021-08-23,IEM_Health-CovidProject,3
AT,Cases,2021-08-23,ILM-EKF,3
AT,Cases,2021-08-23,MUNI-ARIMA,3
AT,Cases,2021-08-30,IEM_Health-CovidProject,3
AT,Cases,2021-08-30,ILM-EKF,3
AT,Cases,2021-08-30,MUNI-ARIMA,3
AT,Cases,2021-09-06,IEM_Health-CovidProject,3
AT,Cases,2021-09-06,ILM-EKF,3
AT,Cases,2021-09-06,MUNI-ARIMA,3
AT,Cases,2021-09-13,IEM_Health-CovidProject,3
AT,Cases,2021-09-13,ILM-EKF,3
AT,Cases,2021-09-13,MUNI-ARIMA,3
AT,Cases,2021-09-20,IEM_Health-CovidProject,3
AT,Cases,2021-09-20,MUNI-ARIMA,3
AT,Cases,2021-09-20,RobertWalraven-ESG,3
AT,Cases,2021-09-27,IEM_Health-CovidProject,3
AT,Cases,2021-09-27,MUNI-ARIMA,3
AT,Cases,2021-09-27,RobertWalraven-ESG,3
AT,Cases,2021-10-04,IEM_Health-CovidProject,3
AT,Cases,2021-10-04,MUNI-ARIMA,3
AT,Cases,2021-10-04,RobertWalraven-ESG,3
AT,Cases,2021-10-11,IEM_Health-CovidProject,3
AT,Cases,2021-10-11,MUNI-ARIMA,3
AT,Cases,2021-10-11,RobertWalraven-ESG,3
AT,Cases,2021-10-18,IEM_Health-CovidProject,3
AT,Cases,2021-10-18,MUNI-ARIMA,3
AT,Cases,2021-10-18,RobertWalraven-ESG,3
AT,Cases,2021-10-25,IEM_Health-CovidProject,3
AT,Cases,2021-10-25,ILM-EKF,3
AT,Cases,2021-10-25,MUNI-ARIMA,3
AT,Cases,2021-11-01,IEM_Health-CovidProject,3
AT,Cases,2021-11-01,ILM-EKF,3
AT,Cases,2021-11-01,MUNI-ARIMA,3
AT,Cases,2021-11-08,IEM_Health-CovidProject,3
AT,Cases,2021-11-08,ILM-EKF,3
AT,Cases,2021-11-08,MUNI-ARIMA,3
AT,Cases,2021-11-15,ILM-EKF,3
AT,Cases,2021-11-15,MUNI-ARIMA,3
AT,Cases,2021-11-15,Karlen-pypm,3
AT,Cases,2021-11-22,IEM_Health-CovidProject,3
AT,Cases,2021-11-22,MUNI-ARIMA,3
AT,Cases,2021-11-22,Karlen-pypm,3
AT,Cases,2021-11-29,MUNI-ARIMA,3
AT,Cases,2021-11-29,Karlen-pypm,3
AT,Cases,2021-11-29,MUNI-VAR,3
AT,Cases,2021-12-06,MUNI-ARIMA,3
AT,Cases,2021-12-06,RobertWalraven-ESG,3
AT,Cases,2021-12-06,Karlen-pypm,3
AT,Cases,2021-12-13,ILM-EKF,3
AT,Cases,2021-12-13,MUNI-ARIMA,3
AT,Cases,2021-12-13,RobertWalraven-ESG,3
AT,Cases,2021-12-20,epiforecasts-EpiNow2,3
AT,Cases,2021-12-20,MUNI-ARIMA,3
AT,Cases,2021-12-20,RobertWalraven-ESG,3
AT,Cases,2021-12-27,ILM-EKF,3
AT,Cases,2021-12-27,epiforecasts-EpiNow2,3
AT,Cases,2021-12-27,MUNI-VAR,3
AT,Cases,2022-01-03,ILM-EKF,3
AT,Cases,2022-01-03,epiforecasts-EpiNow2,3
AT,Cases,2022-01-03,RobertWalraven-ESG,3
AT,Cases,2022-01-10,ILM-EKF,3
AT,Cases,2022-01-10,epiforecasts-EpiNow2,3
AT,Cases,2022-01-10,RobertWalraven-ESG,3
AT,Cases,2022-01-17,IEM_Health-CovidProject,3
AT,Cases,2022-01-17,ILM-EKF,3
AT,Cases,2022-01-17,epiforecasts-EpiNow2,3
AT,Cases,2022-01-24,IEM_Health-CovidProject,3
AT,Cases,2022-01-24,ILM-EKF,3
AT,Cases,2022-01-24,epiforecasts-EpiNow2,3
AT,Cases,2022-01-31,IEM_Health-CovidProject,3
AT,Cases,2022-01-31,epiforecasts-EpiNow2,3
