model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
DSMPG-bayes,CZ,Cases,2021-03-15,1,6473.72565217391,2608,0,3865.72565217391,0.6,0,1,11324,2021-03-20
EuroCOVIDhub-baseline,CZ,Cases,2021-03-15,1,8547.59391304348,7820,0,727.593913043478,0.9,0,1,12646,2021-03-20
IEM_Health-CovidProject,CZ,Cases,2021-03-15,1,13371.9695652174,7904.78260869565,0,5467.18695652174,0.8,0,1,24624,2021-03-20
ILM-EKF,CZ,Cases,2021-03-15,1,4336.83,1435.91304347826,0,2900.91695652174,0.5,1,1,7414,2021-03-20
MUNI_DMS-SEIAR,CZ,Cases,2021-03-15,1,4091.0347826087,0,452.652173913044,3638.38260869565,-0.3,1,1,4671,2021-03-20
epiforecasts-EpiExpert,CZ,Cases,2021-03-15,1,8211.30173913044,7376.82608695652,0,834.475652173913,1,0,0,11005,2021-03-20
epiforecasts-EpiNow2,CZ,Cases,2021-03-15,1,5040.15565217391,1649.39130434783,0,3390.76434782609,0.5,1,1,9010,2021-03-20
DSMPG-bayes,CZ,Cases,2021-03-15,2,13248.2617391304,4910.21739130435,0,8338.04434782609,0.6,0,1,20675,2021-03-27
EuroCOVIDhub-baseline,CZ,Cases,2021-03-15,2,19390.58,17782.2173913044,0,1608.36260869565,0.98,0,0,28329,2021-03-27
IEM_Health-CovidProject,CZ,Cases,2021-03-15,2,27378.4386956522,19591.3043478261,0,7787.13434782609,0.9,0,1,45794,2021-03-27
ILM-EKF,CZ,Cases,2021-03-15,2,10599.1513043478,5006.5652173913,0,5592.58608695652,0.7,0,1,18835,2021-03-27
MUNI_DMS-SEIAR,CZ,Cases,2021-03-15,2,2991.61869565217,0,20.9130434782609,2970.70565217391,-0.1,1,1,481,2021-03-27
epiforecasts-EpiExpert,CZ,Cases,2021-03-15,2,13861.9791304348,11536.4782608696,0,2325.50086956522,0.98,0,0,20885,2021-03-27
epiforecasts-EpiNow2,CZ,Cases,2021-03-15,2,8332.35739130435,2762.86956521739,0,5569.48782608696,0.5,1,1,14316,2021-03-27
DSMPG-bayes,CZ,Cases,2021-03-15,3,20653.1886956522,5876.21739130435,0,14776.9713043478,0.6,0,1,27763,2021-04-03
EuroCOVIDhub-baseline,CZ,Cases,2021-03-15,3,29857.382173913,27421.4347826087,0,2435.94739130435,1,0,0,41231,2021-04-03
IEM_Health-CovidProject,CZ,Cases,2021-03-15,3,40129.1643478261,29866.9565217391,0,10262.207826087,0.95,0,0,63874,2021-04-03
ILM-EKF,CZ,Cases,2021-03-15,3,16320.3713043478,7591.17391304348,0,8729.19739130435,0.7,0,1,27595,2021-04-03
MUNI_DMS-SEIAR,CZ,Cases,2021-03-15,3,3868.23956521739,1230.52173913043,0,2637.71782608696,0.5,1,1,6690,2021-04-03
epiforecasts-EpiExpert,CZ,Cases,2021-03-15,3,18130.4343478261,14549.3043478261,0,3581.13,0.98,0,0,27844,2021-04-03
epiforecasts-EpiNow2,CZ,Cases,2021-03-15,3,9140.28086956522,2551.65217391304,0,6588.62869565217,0.5,1,1,14618,2021-04-03
DSMPG-bayes,CZ,Cases,2021-03-15,4,32265.1426086957,7290.30434782609,0,24974.8382608696,0.6,0,1,33969,2021-04-10
EuroCOVIDhub-baseline,CZ,Cases,2021-03-15,4,38515.7352173913,35380.6956521739,0,3135.03956521739,1,0,0,51706,2021-04-10
IEM_Health-CovidProject,CZ,Cases,2021-03-15,4,51155.097826087,38227.4782608696,0,12927.6195652174,0.98,0,0,79346,2021-04-10
ILM-EKF,CZ,Cases,2021-03-15,4,21722.8108695652,9234.08695652174,0,12488.7239130435,0.7,0,1,34188,2021-04-10
