model,location,target_type,forecast_date,target_val,current_val,rel_score,average,nmod
mean_ensemble,CZ,Cases,2021-04-12,1382.58634057971,1466.66956521739,0.942670641955254,,3
mean_ensemble,CZ,Deaths,2021-04-12,29.1617391304348,28.1125543478261,1.03732086275859,,3
mean_ensemble,DE,Cases,2021-04-12,19594.3947826087,13536.7779891304,1.44749325122583,,3
mean_ensemble,DE,Deaths,2021-04-12,131.082608695652,139.261956521739,0.941266459050429,,3
mean_ensemble,FR,Cases,2021-04-12,65222.8826811594,48169.5078804348,1.3540284206983,,3
mean_ensemble,FR,Deaths,2021-04-12,259.743079710145,259.95027173913,0.999202955135998,,3
mean_ensemble,GB,Cases,2021-04-12,6399.35902173913,5043.48777173913,1.26883603398377,,3
mean_ensemble,GB,Deaths,2021-04-12,36.7544927536232,41.0977717391304,0.894318382683217,,3
mean_ensemble,PL,Cases,2021-04-12,7398.88134057973,21065.6732608696,0.351229284198739,,3
mean_ensemble,PL,Deaths,2021-04-12,269.156413043478,186.638043478261,1.4421304897296,,3
mean_ensemble,CZ,Cases,2021-04-19,1101.42260869565,1190.77119565217,0.924965780762286,,3
mean_ensemble,CZ,Deaths,2021-04-19,30.1270652173913,20.7639673913044,1.45093009681801,,3
mean_ensemble,DE,Cases,2021-04-19,15391.179057971,29133.4591304348,0.528299059478741,,3
mean_ensemble,DE,Deaths,2021-04-19,112.782065217391,207.764347826087,0.542836470248484,,3
mean_ensemble,FR,Cases,2021-04-19,68251.0875362319,53654.6421739131,1.2720444079192,,3
mean_ensemble,FR,Deaths,2021-04-19,215.526920289855,353.267608695652,0.610095335617187,,3
mean_ensemble,GB,Cases,2021-04-19,1919.04221014493,2292.33673913044,0.837155456869259,,3
mean_ensemble,GB,Deaths,2021-04-19,16.438731884058,17.7688043478261,0.925145640768403,,3
mean_ensemble,PL,Cases,2021-04-19,21830.1775362319,18061.3927173913,1.20866523849025,,3
mean_ensemble,PL,Deaths,2021-04-19,533.090217391304,184.177119565217,2.89444323295835,,3
mean_ensemble,CZ,Cases,2021-04-26,1321.39956521739,2377.40782608696,0.555815266828797,,3
mean_ensemble,CZ,Deaths,2021-04-26,27.2327898550725,23.9485869565217,1.13713556062882,,3
mean_ensemble,DE,Cases,2021-04-26,21432.3780434783,38831.9802173913,0.551925962144973,,3
mean_ensemble,DE,Deaths,2021-04-26,99.3813405797102,137.62652173913,0.722108931649718,,3
