model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
epiforecasts-EpiExpert,AT,Deaths,2021-03-15,2,43.3834782608696,0,38.3913043478261,4.99217391304348,-0.98,0,0,63,2021-03-27
epiforecasts-EpiNow2,AT,Deaths,2021-03-15,2,13.0134782608696,4.04347826086957,0,8.97,0.5,1,1,21,2021-03-27
EuroCOVIDhub-baseline,AT,Deaths,2021-03-15,3,40.7117391304348,0,24.4782608695652,16.2334782608696,-0.7,0,1,73,2021-04-03
IEM_Health-CovidProject,AT,Deaths,2021-03-15,3,55.3408695652174,0,36.1304347826087,19.2104347826087,-0.7,0,1,107,2021-04-03
ILM-EKF,AT,Deaths,2021-03-15,3,39.5026086956522,0.695652173913044,0,38.8069565217391,0.1,1,1,16,2021-04-03
RobertWalraven-ESG,AT,Deaths,2021-03-15,3,38.0260869565217,0,29.5652173913044,8.46086956521739,-0.9,0,1,64,2021-04-03
epiforecasts-EpiExpert,AT,Deaths,2021-03-15,3,29.8504347826087,0,22.7826086956522,7.06782608695652,-0.9,0,1,52,2021-04-03
epiforecasts-EpiNow2,AT,Deaths,2021-03-15,3,34.0626086956522,21.8695652173913,0,12.1930434782609,0.8,0,1,59,2021-04-03
EuroCOVIDhub-baseline,AT,Deaths,2021-03-15,4,59.124347826087,0,38.9565217391304,20.1678260869565,-0.7,0,1,108,2021-04-10
IEM_Health-CovidProject,AT,Deaths,2021-03-15,4,77.9,0,56,21.9,-0.8,0,1,148,2021-04-10
ILM-EKF,AT,Deaths,2021-03-15,4,50.8834782608696,1.04347826086957,0,49.84,0.1,1,1,24,2021-04-10
RobertWalraven-ESG,AT,Deaths,2021-03-15,4,76.8960869565218,0,67.3913043478261,9.50478260869565,-1,0,0,110,2021-04-10
epiforecasts-EpiExpert,AT,Deaths,2021-03-15,4,36.2252173913044,0,26.3478260869565,9.87739130434783,-0.8,0,1,66,2021-04-10
epiforecasts-EpiNow2,AT,Deaths,2021-03-15,4,39.3078260869565,21.695652173913,0,17.6121739130435,0.7,0,1,67,2021-04-10
DSMPG-bayes,BE,Cases,2021-03-15,1,2241.99782608696,1036.73913043478,0,1205.25869565217,0.7,0,1,3823,2021-03-20
EuroCOVIDhub-baseline,BE,Cases,2021-03-15,1,2008.82304347826,0,1430.69565217391,578.127391304348,-0.8,0,1,3108,2021-03-20
IEM_Health-CovidProject,BE,Cases,2021-03-15,1,1255.76434782609,0,81.6956521739131,1174.06869565217,-0.2,1,1,1113,2021-03-20
ILM-EKF,BE,Cases,2021-03-15,1,1238.36391304348,0,299.217391304348,939.146521739131,-0.4,1,1,1970,2021-03-20
epiforecasts-EpiExpert,BE,Cases,2021-03-15,1,512.828260869565,0,40.7391304347826,472.089130434783,-0.2,1,1,499,2021-03-20
epiforecasts-EpiNow2,BE,Cases,2021-03-15,1,763.209565217391,0,8.1304347826087,755.079130434783,-0.1,1,1,187,2021-03-20
DSMPG-bayes,BE,Cases,2021-03-15,2,4435.26434782609,0,1078.78260869565,3356.48173913044,-0.4,1,1,6562,2021-03-27
EuroCOVIDhub-baseline,BE,Cases,2021-03-15,2,12600.6373913044,0,11395.4782608696,1205.15913043478,-0.9,0,1,18610,2021-03-27
IEM_Health-CovidProject,BE,Cases,2021-03-15,2,8284.16826086957,0,6493,1791.16826086957,-0.9,0,1,14299,2021-03-27
ILM-EKF,BE,Cases,2021-03-15,2,8632.27434782609,0,6717.95652173913,1914.31782608696,-0.9,0,1,15371,2021-03-27
epiforecasts-EpiExpert,BE,Cases,2021-03-15,2,9959.39043478261,0,9180.17391304348,779.21652173913,-1,0,0,13096,2021-03-27
epiforecasts-EpiNow2,BE,Cases,2021-03-15,2,6943.03739130435,0,5493.13043478261,1449.90695652174,-0.9,0,1,12524,2021-03-27
DSMPG-bayes,BE,Cases,2021-03-15,3,8767.3652173913,584.086956521739,0,8183.27826086957,0.3,1,1,5708,2021-04-03
EuroCOVIDhub-baseline,BE,Cases,2021-03-15,3,7260.07260869565,0,5438.04347826087,1822.02913043478,-0.8,0,1,11899,2021-04-03
IEM_Health-CovidProject,BE,Cases,2021-03-15,3,3293.03217391304,0,741.695652173913,2551.33652173913,-0.4,1,1,4961,2021-04-03
ILM-EKF,BE,Cases,2021-03-15,3,4209.34521739131,0,854.173913043478,3355.17130434783,-0.3,1,1,6332,2021-04-03
epiforecasts-EpiExpert,BE,Cases,2021-03-15,3,1494.70434782609,0,292.695652173913,1202.00869565217,-0.3,1,1,2214,2021-04-03
epiforecasts-EpiNow2,BE,Cases,2021-03-15,3,2574.45086956522,0,220.260869565217,2354.19,-0.2,1,1,2644,2021-04-03
DSMPG-bayes,BE,Cases,2021-03-15,4,26275.9608695652,4314.4347826087,0,21961.5260869565,0.7,0,1,17734,2021-04-10
EuroCOVIDhub-baseline,BE,Cases,2021-03-15,4,3716.83,0,1334.82608695652,2382.00391304348,-0.5,1,1,5501,2021-04-10
IEM_Health-CovidProject,BE,Cases,2021-03-15,4,3827.79739130435,340.260869565217,0,3487.53652173913,0.2,1,1,4212,2021-04-10
ILM-EKF,BE,Cases,2021-03-15,4,5584.36913043478,114.434782608696,0,5469.93434782609,0.1,1,1,2632,2021-04-10
epiforecasts-EpiExpert,BE,Cases,2021-03-15,4,5976.85826086957,4168.21739130435,0,1808.64086956522,0.9,0,1,10227,2021-04-10
epiforecasts-EpiNow2,BE,Cases,2021-03-15,4,4538.91391304348,1122.52173913043,0,3416.39217391304,0.5,1,1,6578,2021-04-10
EuroCOVIDhub-baseline,BE,Deaths,2021-03-15,1,34.2217391304348,0,15.6521739130435,18.5695652173913,-0.6,0,1,48,2021-03-20
IEM_Health-CovidProject,BE,Deaths,2021-03-15,1,52.9565217391304,0,43.6521739130435,9.30434782608696,-0.95,0,0,86,2021-03-20
