model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
bisop-seirfilterlite,GR,Deaths,2021-04-05,1,15.9478260869565,0,0.869565217391304,15.0782608695652,-0.2,1,1,12,2021-04-10
epiforecasts-EpiNow2,GR,Deaths,2021-04-05,1,13.9621739130435,0,1.26086956521739,12.7013043478261,-0.2,1,1,15,2021-04-10
EuroCOVIDhub-baseline,GR,Deaths,2021-04-05,2,54.6386956521739,0,45.6521739130435,8.98652173913044,-0.9,0,1,88,2021-04-17
IEM_Health-CovidProject,GR,Deaths,2021-04-05,2,35.6347826086957,12.4347826086957,0,23.2,0.5,1,1,60,2021-04-17
ILM-EKF,GR,Deaths,2021-04-05,2,53.4304347826087,2.30434782608696,0,51.1260869565218,0.2,1,1,37,2021-04-17
RobertWalraven-ESG,GR,Deaths,2021-04-05,2,9.27478260869565,0,3.95652173913043,5.31826086956522,-0.5,1,1,17,2021-04-17
UMass-MechBayes,GR,Deaths,2021-04-05,2,32.6626086956522,0,0.434782608695652,32.2278260869565,-0.1,1,1,10,2021-04-17
UMass-SemiMech,GR,Deaths,2021-04-05,2,35.3734782608696,0,14.0869565217391,21.2865217391304,-0.5,1,1,62,2021-04-17
bisop-seirfilterlite,GR,Deaths,2021-04-05,2,26.7634782608696,8.08695652173913,0,18.6765217391304,0.4,1,1,46,2021-04-17
epiforecasts-EpiNow2,GR,Deaths,2021-04-05,2,23.2030434782609,1.78260869565217,0,21.4204347826087,0.2,1,1,21,2021-04-17
EuroCOVIDhub-baseline,GR,Deaths,2021-04-05,3,43.9208695652174,0,30.7391304347826,13.1817391304348,-0.8,0,1,77,2021-04-24
IEM_Health-CovidProject,GR,Deaths,2021-04-05,3,88.54,53,0,35.54,0.8,0,1,159,2021-04-24
ILM-EKF,GR,Deaths,2021-04-05,3,80.0973913043478,18.2608695652174,0,61.8365217391304,0.4,1,1,118,2021-04-24
RobertWalraven-ESG,GR,Deaths,2021-04-05,3,6.06565217391304,0.0434782608695652,0,6.02217391304348,0.1,1,1,1,2021-04-24
UMass-MechBayes,GR,Deaths,2021-04-05,3,49.5152173913044,0.478260869565217,0,49.0369565217391,0.1,1,1,11,2021-04-24
UMass-SemiMech,GR,Deaths,2021-04-05,3,32.56,0,3.8695652173913,28.6904347826087,-0.3,1,1,37,2021-04-24
bisop-seirfilterlite,GR,Deaths,2021-04-05,3,87.0378260869565,62.6956521739131,0,24.3421739130435,0.9,0,1,154,2021-04-24
epiforecasts-EpiNow2,GR,Deaths,2021-04-05,3,70.9408695652174,27.2173913043478,0,43.7234782608696,0.6,0,1,108,2021-04-24
EuroCOVIDhub-baseline,GR,Deaths,2021-04-05,4,21.0904347826087,0,4.30434782608696,16.7860869565217,-0.4,1,1,27,2021-05-01
IEM_Health-CovidProject,GR,Deaths,2021-04-05,4,185.100434782609,134.217391304348,0,50.8830434782609,0.9,0,1,307,2021-05-01
ILM-EKF,GR,Deaths,2021-04-05,4,143.718260869565,64.304347826087,0,79.4139130434783,0.6,0,1,249,2021-05-01
RobertWalraven-ESG,GR,Deaths,2021-04-05,4,24.3434782608696,17.5217391304348,0,6.82173913043478,0.9,0,1,43,2021-05-01
UMass-MechBayes,GR,Deaths,2021-04-05,4,80.7769565217392,8.21739130434783,0,72.5595652173913,0.3,1,1,89,2021-05-01
UMass-SemiMech,GR,Deaths,2021-04-05,4,39.1834782608696,1,0,38.1834782608696,0.2,1,1,21,2021-05-01
bisop-seirfilterlite,GR,Deaths,2021-04-05,4,165.734347826087,134.260869565217,0,31.4734782608696,0.95,0,0,268,2021-05-01
epiforecasts-EpiNow2,GR,Deaths,2021-04-05,4,169.653043478261,86.2608695652174,0,83.3921739130435,0.8,0,1,244,2021-05-01
DSMPG-bayes,HR,Cases,2021-04-05,1,2434.93782608696,1884.47826086957,0,550.459565217391,0.95,0,0,3987,2021-04-10
EuroCOVIDhub-baseline,HR,Cases,2021-04-05,1,343.997391304348,203.304347826087,0,140.693043478261,0.7,0,1,500,2021-04-10
IEM_Health-CovidProject,HR,Cases,2021-04-05,1,2181.85260869565,1098.08695652174,0,1083.76565217391,0.7,0,1,4110,2021-04-10
ILM-EKF,HR,Cases,2021-04-05,1,3475.54782608696,2767.82608695652,0,707.721739130435,0.98,0,0,5484,2021-04-10
UMass-SemiMech,HR,Cases,2021-04-05,1,1116.9852173913,301.086956521739,0,815.898260869565,0.4,1,1,1781,2021-04-10
bisop-seirfilterlite,HR,Cases,2021-04-05,1,4088.51695652174,3925.34782608696,0,163.169130434783,1,0,0,4661,2021-04-10
epiforecasts-EpiNow2,HR,Cases,2021-04-05,1,3664.69826086956,3156.82608695652,0,507.872173913044,1,0,0,5183,2021-04-10
DSMPG-bayes,HR,Cases,2021-04-05,2,2843.43043478261,1217.69565217391,0,1625.7347826087,0.6,0,1,4943,2021-04-17
EuroCOVIDhub-baseline,HR,Cases,2021-04-05,2,1576.75086956522,0,1268.65217391304,308.098695652174,-0.8,0,1,2577,2021-04-17
IEM_Health-CovidProject,HR,Cases,2021-04-05,2,3872.36608695652,1928.60869565217,0,1943.75739130435,0.7,0,1,7054,2021-04-17
ILM-EKF,HR,Cases,2021-04-05,2,6016.68652173913,4380,0,1636.68652173913,0.95,0,0,9944,2021-04-17
UMass-SemiMech,HR,Cases,2021-04-05,2,1267.95391304348,72.6521739130435,0,1195.30173913043,0.2,1,1,1003,2021-04-17
bisop-seirfilterlite,HR,Cases,2021-04-05,2,7418.87869565217,7049.69565217391,0,369.183043478261,1,0,0,8715,2021-04-17
epiforecasts-EpiNow2,HR,Cases,2021-04-05,2,4349.41391304348,3071,0,1278.41391304348,0.9,0,1,7475,2021-04-17
DSMPG-bayes,HR,Cases,2021-04-05,3,6166.12869565218,2557.5652173913,0,3608.56347826087,0.6,0,1,10072,2021-04-24
EuroCOVIDhub-baseline,HR,Cases,2021-04-05,3,1380.78782608696,0,921.391304347826,459.396521739131,-0.7,0,1,2398,2021-04-24
IEM_Health-CovidProject,HR,Cases,2021-04-05,3,8803.87043478261,5477.30434782609,0,3326.56608695652,0.9,0,1,15428,2021-04-24
ILM-EKF,HR,Cases,2021-04-05,3,13335.8569565217,9985.73913043478,0,3350.11782608696,0.98,0,0,20864,2021-04-24
UMass-SemiMech,HR,Cases,2021-04-05,3,2484.97695652174,648.652173913044,0,1836.3247826087,0.4,1,1,3845,2021-04-24
bisop-seirfilterlite,HR,Cases,2021-04-05,3,15337.9652173913,14403.5217391304,0,934.44347826087,1,0,0,18619,2021-04-24
epiforecasts-EpiNow2,HR,Cases,2021-04-05,3,7988.59,5615.30434782609,0,2373.28565217391,0.9,0,1,13554,2021-04-24
DSMPG-bayes,HR,Cases,2021-04-05,4,11761.7208695652,4996.21739130435,0,6765.50347826087,0.7,0,1,17653,2021-05-01
EuroCOVIDhub-baseline,HR,Cases,2021-04-05,4,598.371739130435,0,4.69565217391304,593.676086956522,-0.1,1,1,108,2021-05-01
IEM_Health-CovidProject,HR,Cases,2021-04-05,4,17418.7191304348,11977.8260869565,0,5440.89304347826,0.95,0,0,28352,2021-05-01
ILM-EKF,HR,Cases,2021-04-05,4,25836.1265217391,19475.0869565217,0,6361.03956521739,1,0,0,38461,2021-05-01
UMass-SemiMech,HR,Cases,2021-04-05,4,5371.75913043478,2831.82608695652,0,2539.93304347826,0.7,0,1,9412,2021-05-01
bisop-seirfilterlite,HR,Cases,2021-04-05,4,28303.137826087,26307.7826086957,0,1995.3552173913,1,0,0,35309,2021-05-01
epiforecasts-EpiNow2,HR,Cases,2021-04-05,4,12835.8260869565,9296.47826086957,0,3539.34782608696,0.95,0,0,21363,2021-05-01
EuroCOVIDhub-baseline,HR,Deaths,2021-04-05,1,67.9478260869565,0,64.9130434782609,3.03478260869565,-0.98,0,0,91,2021-04-10
IEM_Health-CovidProject,HR,Deaths,2021-04-05,1,20.1547826086957,0,9.78260869565217,10.3721739130435,-0.6,0,1,39,2021-04-10
ILM-EKF,HR,Deaths,2021-04-05,1,27.3395652173913,0,2.56521739130435,24.774347826087,-0.2,1,1,29,2021-04-10
RobertWalraven-ESG,HR,Deaths,2021-04-05,1,50.9726086956522,0,48.4347826086957,2.53782608695652,-1,0,0,60,2021-04-10
UMass-MechBayes,HR,Deaths,2021-04-05,1,11.3873913043478,0,0.652173913043478,10.7352173913044,-0.2,1,1,9,2021-04-10
UMass-SemiMech,HR,Deaths,2021-04-05,1,19.5873913043478,0,11.4347826086957,8.15260869565218,-0.7,0,1,37,2021-04-10
bisop-seirfilterlite,HR,Deaths,2021-04-05,1,17.8182608695652,1.08695652173913,0,16.7313043478261,0.2,1,1,15,2021-04-10
epiforecasts-EpiNow2,HR,Deaths,2021-04-05,1,11.0360869565217,0,1.73913043478261,9.29695652173913,-0.3,1,1,16,2021-04-10
EuroCOVIDhub-baseline,HR,Deaths,2021-04-05,2,68.6504347826087,0,62.1304347826087,6.52,-0.98,0,0,101,2021-04-17
IEM_Health-CovidProject,HR,Deaths,2021-04-05,2,19.5078260869565,1.26086956521739,0,18.2469565217391,0.2,1,1,17,2021-04-17
ILM-EKF,HR,Deaths,2021-04-05,2,42.0091304347826,6.1304347826087,0,35.8786956521739,0.3,1,1,51,2021-04-17
RobertWalraven-ESG,HR,Deaths,2021-04-05,2,45.0065217391304,0,42.0434782608696,2.96304347826087,-1,0,0,55,2021-04-17
UMass-MechBayes,HR,Deaths,2021-04-05,2,38.6586956521739,16.7391304347826,0,21.9195652173913,0.6,0,1,69,2021-04-17
UMass-SemiMech,HR,Deaths,2021-04-05,2,11.4826086956522,0,0.391304347826087,11.0913043478261,-0.2,1,1,7,2021-04-17
bisop-seirfilterlite,HR,Deaths,2021-04-05,2,65.8191304347826,42.7391304347826,0,23.08,0.8,0,1,121,2021-04-17
epiforecasts-EpiNow2,HR,Deaths,2021-04-05,2,36.4508695652174,22.4347826086957,0,14.0160869565217,0.8,0,1,62,2021-04-17
EuroCOVIDhub-baseline,HR,Deaths,2021-04-05,3,97.2839130434783,0,87.6956521739131,9.58826086956522,-0.98,0,0,139,2021-04-24
IEM_Health-CovidProject,HR,Deaths,2021-04-05,3,40.5095652173913,10.304347826087,0,30.2052173913044,0.4,1,1,63,2021-04-24
ILM-EKF,HR,Deaths,2021-04-05,3,86.2386956521739,32.0434782608696,0,54.1952173913043,0.6,0,1,143,2021-04-24
RobertWalraven-ESG,HR,Deaths,2021-04-05,3,88.3760869565218,0,84.9565217391304,3.4195652173913,-1,0,0,100,2021-04-24
UMass-MechBayes,HR,Deaths,2021-04-05,3,78.5930434782609,34.5652173913044,0,44.0278260869565,0.6,0,1,141,2021-04-24
UMass-SemiMech,HR,Deaths,2021-04-05,3,17.674347826087,0,0.0434782608695652,17.6308695652174,-0.1,1,1,1,2021-04-24
bisop-seirfilterlite,HR,Deaths,2021-04-05,3,142.972173913044,109.347826086957,0,33.624347826087,0.9,0,1,243,2021-04-24
epiforecasts-EpiNow2,HR,Deaths,2021-04-05,3,80.5430434782609,56.0434782608696,0,24.4995652173913,0.9,0,1,135,2021-04-24
EuroCOVIDhub-baseline,HR,Deaths,2021-04-05,4,113.223043478261,0,101.130434782609,12.0926086956522,-1,0,0,162,2021-05-01
IEM_Health-CovidProject,HR,Deaths,2021-04-05,4,84.174347826087,36.3913043478261,0,47.7830434782609,0.6,0,1,149,2021-05-01
ILM-EKF,HR,Deaths,2021-04-05,4,181.175217391304,96,0,85.1752173913044,0.8,0,1,304,2021-05-01
RobertWalraven-ESG,HR,Deaths,2021-04-05,4,131.757826086957,0,127.95652173913,3.80130434782609,-1,0,0,145,2021-05-01
UMass-MechBayes,HR,Deaths,2021-04-05,4,148.624782608696,73.1739130434783,0,75.4508695652174,0.7,0,1,265,2021-05-01
UMass-SemiMech,HR,Deaths,2021-04-05,4,29.1291304347826,2.34782608695652,0,26.7813043478261,0.2,1,1,26,2021-05-01
bisop-seirfilterlite,HR,Deaths,2021-04-05,4,274.857826086957,223.347826086957,0,51.51,0.95,0,0,443,2021-05-01
epiforecasts-EpiNow2,HR,Deaths,2021-04-05,4,146.627391304348,103.478260869565,0,43.1491304347826,0.9,0,1,250,2021-05-01
DSMPG-bayes,HU,Cases,2021-04-05,1,5723.37608695652,4366.69565217391,0,1356.68043478261,0.9,0,1,9458,2021-04-10
EuroCOVIDhub-baseline,HU,Cases,2021-04-05,1,17172.7417391304,16844.2173913043,0,328.524347826087,1,0,0,20179,2021-04-10
IEM_Health-CovidProject,HU,Cases,2021-04-05,1,22742.1208695652,19367.4782608696,0,3374.64260869565,1,0,0,32582,2021-04-10
ILM-EKF,HU,Cases,2021-04-05,1,10735.002173913,8834.56521739131,0,1900.43695652174,0.98,0,0,16311,2021-04-10
UMass-SemiMech,HU,Cases,2021-04-05,1,11543.7569565217,9032.13043478261,0,2511.62652173913,0.95,0,0,18799,2021-04-10
bisop-seirfilterlite,HU,Cases,2021-04-05,1,18814.4352173913,16730.2173913044,0,2084.21782608696,1,0,0,26133,2021-04-10
epiforecasts-EpiNow2,HU,Cases,2021-04-05,1,7571.93217391304,5915.13043478261,0,1656.80173913043,0.98,0,0,11912,2021-04-10
DSMPG-bayes,HU,Cases,2021-04-05,2,2647.73565217391,46.4782608695652,0,2601.25739130435,0.1,1,1,1069,2021-04-17
EuroCOVIDhub-baseline,HU,Cases,2021-04-05,2,17529.0995652174,16765.652173913,0,763.447391304348,1,0,0,21700,2021-04-17
IEM_Health-CovidProject,HU,Cases,2021-04-05,2,26111.4773913043,21080.5652173913,0,5030.91217391304,1,0,0,38949,2021-04-17
ILM-EKF,HU,Cases,2021-04-05,2,7621.90869565218,4399.47826086957,0,3222.43043478261,0.8,0,1,13566,2021-04-17
UMass-SemiMech,HU,Cases,2021-04-05,2,10072.7208695652,6927.34782608696,0,3145.37304347826,0.9,0,1,17347,2021-04-17
bisop-seirfilterlite,HU,Cases,2021-04-05,2,17193.3747826087,13453.347826087,0,3740.02695652174,0.9,0,1,28781,2021-04-17
epiforecasts-EpiNow2,HU,Cases,2021-04-05,2,2874.43130434783,435.826086956522,0,2438.6052173913,0.3,1,1,3588,2021-04-17
DSMPG-bayes,HU,Cases,2021-04-05,3,4685.9752173913,1055,0,3630.9752173913,0.4,1,1,6591,2021-04-24
EuroCOVIDhub-baseline,HU,Cases,2021-04-05,3,28991.1473913044,27837.3913043478,0,1153.75608695652,1,0,0,34246,2021-04-24
IEM_Health-CovidProject,HU,Cases,2021-04-05,3,40506.2769565217,33513.7826086957,0,6992.49434782609,1,0,0,56007,2021-04-24
ILM-EKF,HU,Cases,2021-04-05,3,13364.1465217391,8885.13043478261,0,4479.01608695652,0.9,0,1,22088,2021-04-24
UMass-SemiMech,HU,Cases,2021-04-05,3,17759.03,13852.8695652174,0,3906.16043478261,0.98,0,0,27104,2021-04-24
bisop-seirfilterlite,HU,Cases,2021-04-05,3,26325.05,18749.652173913,0,7575.39782608696,0.9,0,1,46850,2021-04-24
epiforecasts-EpiNow2,HU,Cases,2021-04-05,3,4443.56043478261,1658.91304347826,0,2784.64739130435,0.6,0,1,7551,2021-04-24
DSMPG-bayes,HU,Cases,2021-04-05,4,5878.91782608696,1368.34782608696,0,4510.57,0.5,1,1,7664,2021-05-01
EuroCOVIDhub-baseline,HU,Cases,2021-04-05,4,34439.332173913,32972.8260869565,0,1466.50608695652,1,0,0,40525,2021-05-01
IEM_Health-CovidProject,HU,Cases,2021-04-05,4,48708.4204347826,39539.1304347826,0,9169.29,1,0,0,67202,2021-05-01
ILM-EKF,HU,Cases,2021-04-05,4,15340.7504347826,9697.69565217391,0,5643.0547826087,0.9,0,1,24709,2021-05-01
UMass-SemiMech,HU,Cases,2021-04-05,4,20864.5495652174,16284.8260869565,0,4579.72347826087,1,0,0,31039,2021-05-01
bisop-seirfilterlite,HU,Cases,2021-04-05,4,29233.3547826087,16957.7391304348,0,12275.6156521739,0.7,0,1,55540,2021-05-01
epiforecasts-EpiNow2,HU,Cases,2021-04-05,4,4191.69173913044,1390.13043478261,0,2801.56130434783,0.5,1,1,6731,2021-05-01
EuroCOVIDhub-baseline,HU,Deaths,2021-04-05,1,28.4782608695652,20.0434782608696,0,8.43478260869565,0.7,0,1,45,2021-04-10
IEM_Health-CovidProject,HU,Deaths,2021-04-05,1,235.053913043478,172.782608695652,0,62.2713043478261,0.9,0,1,408,2021-04-10
ILM-EKF,HU,Deaths,2021-04-05,1,109.669565217391,9.26086956521739,0,100.408695652174,0.2,1,1,109,2021-04-10
RobertWalraven-ESG,HU,Deaths,2021-04-05,1,191.404782608696,178.695652173913,0,12.7091304347826,1,0,0,236,2021-04-10
UMass-MechBayes,HU,Deaths,2021-04-05,1,75.5630434782609,9,0,66.5630434782609,0.3,1,1,89,2021-04-10
UMass-SemiMech,HU,Deaths,2021-04-05,1,92.1021739130435,29.6086956521739,0,62.4934782608696,0.5,1,1,151,2021-04-10
bisop-seirfilterlite,HU,Deaths,2021-04-05,1,88.0508695652174,0,18.8260869565217,69.2247826086957,-0.4,1,1,133,2021-04-10
epiforecasts-EpiNow2,HU,Deaths,2021-04-05,1,59.4952173913044,9.8695652173913,0,49.6256521739131,0.3,1,1,79,2021-04-10
EuroCOVIDhub-baseline,HU,Deaths,2021-04-05,2,20.0108695652174,0,2.52173913043478,17.4891304347826,-0.3,1,1,16,2021-04-17
IEM_Health-CovidProject,HU,Deaths,2021-04-05,2,405.652173913044,304.826086956522,0,100.826086956522,0.9,0,1,679,2021-04-17
ILM-EKF,HU,Deaths,2021-04-05,2,113.834782608696,1.39130434782609,0,112.44347826087,0.1,1,1,32,2021-04-17
RobertWalraven-ESG,HU,Deaths,2021-04-05,2,194.219565217391,179.391304347826,0,14.8282608695652,1,0,0,246,2021-04-17
UMass-MechBayes,HU,Deaths,2021-04-05,2,87.9630434782609,0,5.86956521739131,82.0934782608696,-0.2,1,1,73,2021-04-17
UMass-SemiMech,HU,Deaths,2021-04-05,2,80.4256521739131,11.3913043478261,0,69.034347826087,0.3,1,1,96,2021-04-17
bisop-seirfilterlite,HU,Deaths,2021-04-05,2,102.303913043478,0,21.1739130434783,81.13,-0.4,1,1,153,2021-04-17
epiforecasts-EpiNow2,HU,Deaths,2021-04-05,2,96.2413043478261,0,26.5652173913044,69.6760869565217,-0.4,1,1,153,2021-04-17
EuroCOVIDhub-baseline,HU,Deaths,2021-04-05,3,202.577826086957,177,0,25.5778260869565,0.95,0,0,311,2021-04-24
IEM_Health-CovidProject,HU,Deaths,2021-04-05,3,949.614782608696,800.565217391304,0,149.049565217391,1,0,0,1379,2021-04-24
ILM-EKF,HU,Deaths,2021-04-05,3,172.744782608696,45.3478260869565,0,127.396956521739,0.4,1,1,271,2021-04-24
RobertWalraven-ESG,HU,Deaths,2021-04-05,3,486.069130434783,469.04347826087,0,17.025652173913,1,0,0,546,2021-04-24
UMass-MechBayes,HU,Deaths,2021-04-05,3,103.019130434783,3.04347826086957,0,99.975652173913,0.2,1,1,66,2021-04-24
UMass-SemiMech,HU,Deaths,2021-04-05,3,228.829565217391,141.347826086957,0,87.4817391304348,0.8,0,1,397,2021-04-24
bisop-seirfilterlite,HU,Deaths,2021-04-05,3,191.24347826087,87.5217391304348,0,103.721739130435,0.6,0,1,357,2021-04-24
epiforecasts-EpiNow2,HU,Deaths,2021-04-05,3,101.360434782609,0,8.1304347826087,93.23,-0.2,1,1,105,2021-04-24
EuroCOVIDhub-baseline,HU,Deaths,2021-04-05,4,329.96,297.608695652174,0,32.3513043478261,0.98,0,0,471,2021-05-01
IEM_Health-CovidProject,HU,Deaths,2021-04-05,4,1372.22173913043,1164.65217391304,0,207.569565217391,1,0,0,1925,2021-05-01
ILM-EKF,HU,Deaths,2021-04-05,4,196.835652173913,50.0869565217391,0,146.748695652174,0.4,1,1,302,2021-05-01
RobertWalraven-ESG,HU,Deaths,2021-04-05,4,545.266521739131,526.130434782609,0,19.1360869565217,1,0,0,613,2021-05-01
UMass-MechBayes,HU,Deaths,2021-04-05,4,118.336956521739,2.08695652173913,0,116.25,0.1,1,1,48,2021-05-01
UMass-SemiMech,HU,Deaths,2021-04-05,4,269.148695652174,166.95652173913,0,102.192173913043,0.8,0,1,456,2021-05-01
bisop-seirfilterlite,HU,Deaths,2021-04-05,4,337.831304347826,204.95652173913,0,132.874782608696,0.7,0,1,632,2021-05-01
epiforecasts-EpiNow2,HU,Deaths,2021-04-05,4,140.750869565217,0,31.0869565217391,109.663913043478,-0.4,1,1,205,2021-05-01
EuroCOVIDhub-baseline,IT,Cases,2021-04-05,1,24186.0704347826,22712.2608695652,0,1473.80956521739,0.95,0,0,33964,2021-04-10
IEM_Health-CovidProject,IT,Cases,2021-04-05,1,17941.5182608696,12961.6956521739,0,4979.82260869565,0.9,0,1,30653,2021-04-10
ILM-EKF,IT,Cases,2021-04-05,1,13189.0639130435,7729.21739130435,0,5459.84652173913,0.8,0,1,24014,2021-04-10
UMass-SemiMech,IT,Cases,2021-04-05,1,15655.8334782609,9644.91304347826,0,6010.92043478261,0.8,0,1,27413,2021-04-10
UNIPV-BayesINGARCHX,IT,Cases,2021-04-05,1,45431.3156521739,45095.3043478261,0,336.011304347826,1,0,0,46292,2021-04-10
bisop-seirfilterlite,IT,Cases,2021-04-05,1,28332.7556521739,26139.4782608696,0,2193.27739130435,1,0,0,36034,2021-04-10
epiforecasts-EpiExpert,IT,Cases,2021-04-05,1,18568.6795652174,17215.9565217391,0,1352.72304347826,1,0,0,23097,2021-04-10
epiforecasts-EpiNow2,IT,Cases,2021-04-05,1,10667.232173913,8124.39130434783,0,2542.84086956522,0.95,0,0,17425,2021-04-10
EuroCOVIDhub-baseline,IT,Cases,2021-04-05,2,21715.9695652174,18532,0,3183.96956521739,0.9,0,1,34428,2021-04-17
IEM_Health-CovidProject,IT,Cases,2021-04-05,2,10623.5973913043,4076.73913043478,0,6546.85826086957,0.6,0,1,18675,2021-04-17
ILM-EKF,IT,Cases,2021-04-05,2,12104.5404347826,1891,0,10213.5404347826,0.3,1,1,15501,2021-04-17
UMass-SemiMech,IT,Cases,2021-04-05,2,12559.992173913,4378,0,8181.99217391304,0.5,1,1,21154,2021-04-17
UNIPV-BayesINGARCHX,IT,Cases,2021-04-05,2,41593.8891304348,41345.6956521739,0,248.19347826087,1,0,0,42227,2021-04-17
bisop-seirfilterlite,IT,Cases,2021-04-05,2,28723.7456521739,24807.8695652174,0,3915.87608695652,0.98,0,0,42447,2021-04-17
epiforecasts-EpiExpert,IT,Cases,2021-04-05,2,7263.28913043478,4778.08695652174,0,2485.20217391304,0.8,0,1,13084,2021-04-17
epiforecasts-EpiNow2,IT,Cases,2021-04-05,2,4767.80260869565,37.3478260869565,0,4730.4547826087,0.1,1,1,859,2021-04-17
EuroCOVIDhub-baseline,IT,Cases,2021-04-05,3,28299.2417391304,23639.5652173913,0,4659.67652173913,0.9,0,1,45720,2021-04-24
IEM_Health-CovidProject,IT,Cases,2021-04-05,3,11482.4234782609,3604.73913043478,0,7877.68434782609,0.5,1,1,18927,2021-04-24
ILM-EKF,IT,Cases,2021-04-05,3,16435.2839130435,1887.26086956522,0,14548.0230434783,0.3,1,1,17889,2021-04-24
UMass-SemiMech,IT,Cases,2021-04-05,3,15137.1095652174,5311.30434782609,0,9825.8052173913,0.5,1,1,25798,2021-04-24
UNIPV-BayesINGARCHX,IT,Cases,2021-04-05,3,49692.3034782609,49508,0,184.30347826087,1,0,0,50166,2021-04-24
bisop-seirfilterlite,IT,Cases,2021-04-05,3,32759.8095652174,25042.9565217391,0,7716.85304347826,0.9,0,1,55710,2021-04-24
epiforecasts-EpiExpert,IT,Cases,2021-04-05,3,10334.1782608696,6788.5652173913,0,3545.61304347826,0.8,0,1,18465,2021-04-24
epiforecasts-EpiNow2,IT,Cases,2021-04-05,3,6634.33217391305,0,147.04347826087,6487.28869565217,-0.1,1,1,3382,2021-04-24
EuroCOVIDhub-baseline,IT,Cases,2021-04-05,4,31306.9165217391,25381.652173913,0,5925.26434782609,0.9,0,1,51694,2021-05-01
IEM_Health-CovidProject,IT,Cases,2021-04-05,4,10853.0639130435,1881.13043478261,0,8971.93347826087,0.4,1,1,14572,2021-05-01
ILM-EKF,IT,Cases,2021-04-05,4,19908.7117391304,1217.52173913043,0,18691.19,0.2,1,1,15671,2021-05-01
UMass-SemiMech,IT,Cases,2021-04-05,4,16043.0956521739,4561.47826086957,0,11481.6173913043,0.5,1,1,24806,2021-05-01
UNIPV-BayesINGARCHX,IT,Cases,2021-04-05,4,53287.4756521739,53149.4347826087,0,138.040869565217,1,0,0,53641,2021-05-01
bisop-seirfilterlite,IT,Cases,2021-04-05,4,33108.0934782609,20607.7826086957,0,12500.3108695652,0.8,0,1,61647,2021-05-01
epiforecasts-EpiExpert,IT,Cases,2021-04-05,4,10610.7504347826,6087.95652173913,0,4522.79391304348,0.7,0,1,19355,2021-05-01
epiforecasts-EpiNow2,IT,Cases,2021-04-05,4,8782.81913043478,0,1219.30434782609,7563.5147826087,-0.3,1,1,11276,2021-05-01
EuroCOVIDhub-baseline,IT,Deaths,2021-04-05,1,105.918260869565,0,44.8260869565217,61.0921739130435,-0.6,0,1,151,2021-04-10
IEM_Health-CovidProject,IT,Deaths,2021-04-05,1,151.039130434783,9.82608695652174,0,141.213043478261,0.2,1,1,132,2021-04-10
ILM-EKF,IT,Deaths,2021-04-05,1,159.26347826087,0,18.1739130434783,141.089565217391,-0.3,1,1,186,2021-04-10
RobertWalraven-ESG,IT,Deaths,2021-04-05,1,28.6617391304348,0,3.69565217391304,24.9660869565217,-0.3,1,1,35,2021-04-10
UMass-MechBayes,IT,Deaths,2021-04-05,1,418.591304347826,0,316.173913043478,102.417391304348,-0.9,0,1,732,2021-04-10
UMass-SemiMech,IT,Deaths,2021-04-05,1,118.985652173913,6.30434782608696,0,112.681304347826,0.2,1,1,85,2021-04-10
bisop-seirfilterlite,IT,Deaths,2021-04-05,1,478.797826086956,0,411.521739130435,67.2760869565218,-0.98,0,0,713,2021-04-10
epiforecasts-EpiExpert,IT,Deaths,2021-04-05,1,80.0478260869565,0,47.3478260869565,32.7,-0.7,0,1,151,2021-04-10
epiforecasts-EpiNow2,IT,Deaths,2021-04-05,1,199.653913043478,0,162.391304347826,37.2626086956522,-0.95,0,0,333,2021-04-10
EuroCOVIDhub-baseline,IT,Deaths,2021-04-05,2,196.078260869565,78.2173913043478,0,117.860869565217,0.5,1,1,315,2021-04-17
IEM_Health-CovidProject,IT,Deaths,2021-04-05,2,467.437391304348,255.304347826087,0,212.133043478261,0.7,0,1,864,2021-04-17
ILM-EKF,IT,Deaths,2021-04-05,2,167.98652173913,9.56521739130435,0,158.421304347826,0.2,1,1,134,2021-04-17
RobertWalraven-ESG,IT,Deaths,2021-04-05,2,302.956086956522,273.782608695652,0,29.1734782608696,1,0,0,405,2021-04-17
UMass-MechBayes,IT,Deaths,2021-04-05,2,314.251304347826,0,186.173913043478,128.077391304348,-0.7,0,1,612,2021-04-17
UMass-SemiMech,IT,Deaths,2021-04-05,2,300.485652173913,185.304347826087,0,115.181304347826,0.8,0,1,558,2021-04-17
bisop-seirfilterlite,IT,Deaths,2021-04-05,2,99.7104347826087,0,23.8260869565217,75.884347826087,-0.4,1,1,156,2021-04-17
epiforecasts-EpiExpert,IT,Deaths,2021-04-05,2,116.072173913044,52.7826086956522,0,63.2895652173913,0.6,0,1,214,2021-04-17
epiforecasts-EpiNow2,IT,Deaths,2021-04-05,2,69.7652173913043,0,18.1304347826087,51.6347826086957,-0.4,1,1,109,2021-04-17
EuroCOVIDhub-baseline,IT,Deaths,2021-04-05,3,399.567826086957,235.260869565217,0,164.306956521739,0.7,0,1,723,2021-04-24
