location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.55,2,Deaths,median_ensemble,525,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.6,1,Cases,median_ensemble,24193,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.6,1,Deaths,median_ensemble,733,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.6,2,Cases,median_ensemble,20041,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.6,2,Deaths,median_ensemble,552,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.65,1,Cases,median_ensemble,25058,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.65,1,Deaths,median_ensemble,768,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.65,2,Cases,median_ensemble,20955,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.65,2,Deaths,median_ensemble,581,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.7,1,Cases,median_ensemble,25971,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.7,1,Deaths,median_ensemble,806,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.7,2,Cases,median_ensemble,21927,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.7,2,Deaths,median_ensemble,613,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.75,1,Cases,median_ensemble,26694,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.75,1,Deaths,median_ensemble,849,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.75,2,Cases,median_ensemble,23111,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.75,2,Deaths,median_ensemble,650,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.8,1,Cases,median_ensemble,27503,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.8,1,Deaths,median_ensemble,899,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.8,2,Cases,median_ensemble,24523,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.8,2,Deaths,median_ensemble,694,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.85,1,Cases,median_ensemble,28583,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.85,1,Deaths,median_ensemble,962,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.85,2,Cases,median_ensemble,26361,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.85,2,Deaths,median_ensemble,749,524,1,ensemble,2021-04-24,10591323,1
