target_end_date,target_type,location,location_name,anomaly
2021-06-05,Deaths,CH,Switzerland,large data revision
2021-06-05,Cases,CY,Cyprus,large data revision
2021-06-05,Deaths,CY,Cyprus,large data revision
2021-06-05,Deaths,DE,Germany,large data revision
2021-06-05,Deaths,FI,Finland,large data revision
2021-06-05,Deaths,GB,United Kingdom,large data revision
2021-06-05,Cases,IE,Ireland,"2 days missing, 1 day spike"
2021-06-05,Deaths,IE,Ireland,No data reported
2021-06-05,Cases,IS,Iceland,large data revision
2021-06-05,Cases,NL,Netherlands,large data revision
2021-06-05,Cases,SK,Slovakia,large data revision
2021-06-12,Cases,AT,Austria,large data revision
2021-06-12,Deaths,AT,Austria,large data revision
2021-06-12,Deaths,CH,Switzerland,large data revision
2021-06-12,Cases,CY,Cyprus,large data revision
2021-06-12,Cases,ES,Spain,Historic cases added but not backdistributed in Catalonia
2021-06-12,Deaths,FI,Finland,large data revision
2021-06-12,Deaths,GB,United Kingdom,large data revision
2021-06-12,Cases,IE,Ireland,Spike removed after case count backdistributed
2021-06-12,Deaths,IE,Ireland,No data reported
2021-06-12,Cases,IS,Iceland,large data revision
2021-06-12,Cases,LI,Liechtenstein,large data revision
2021-06-12,Cases,NL,Netherlands,large data revision
2021-06-12,Cases,SK,Slovakia,large data revision
2021-06-19,Cases,AT,Austria,large data revision
2021-06-19,Deaths,AT,Austria,large data revision
2021-06-19,Deaths,CH,Switzerland,large data revision
2021-06-19,Deaths,CY,Cyprus,large data revision
2021-06-19,Deaths,FI,Finland,large data revision
2021-06-19,Deaths,GB,United Kingdom,large data revision
2021-06-19,Cases,IS,Iceland,large data revision
2021-06-19,Deaths,LT,Lithuania,large data revision
2021-06-19,Cases,NL,Netherlands,large data revision
2021-06-19,Cases,SK,Slovakia,large data revision
2021-06-26,Cases,AT,Austria,large data revision
2021-06-26,Deaths,AT,Austria,large data revision
2021-06-26,Deaths,CH,Switzerland,large data revision
2021-06-26,Cases,CY,Cyprus,large data revision
2021-06-26,Cases,FI,Finland,large data revision
2021-06-26,Deaths,GB,United Kingdom,large data revision
2021-06-26,Cases,IS,Iceland,large data revision
2021-06-26,Cases,SK,Slovakia,large data revision
2021-07-03,Cases,AT,Austria,large data revision
2021-07-03,Deaths,AT,Austria,large data revision
2021-07-03,Deaths,CH,Switzerland,large data revision
2021-07-03,Cases,FI,Finland,large data revision
2021-07-03,Deaths,FI,Finland,large data revision
2021-07-03,Deaths,GB,United Kingdom,large data revision
2021-07-03,Deaths,GR,Greece,large data revision
2021-07-03,Cases,IS,Iceland,large data revision
2021-07-03,Cases,LI,Liechtenstein,large data revision
2021-07-03,Deaths,LT,Lithuania,large data revision
2021-07-03,Cases,NL,Netherlands,large data revision
2021-07-03,Cases,SK,Slovakia,large data revision
2021-07-10,Deaths,AT,Austria,large data revision
2021-07-10,Deaths,CH,Switzerland,large data revision
