k,loctarg,nens
2,DECases,132
3,DECases,680
4,DECases,2379
5,DECases,6175
6,DECases,12298
7,DECases,19162
8,DECases,24310
9,DECases,24310
10,DECases,19448
11,DECases,12376
12,DECases,6188
13,DECases,2380
14,DECases,680
2,DEDeaths,120
3,DEDeaths,560
4,DEDeaths,1820
5,DEDeaths,4368
6,DEDeaths,8008
7,DEDeaths,11440
8,DEDeaths,12870
9,DEDeaths,11440
10,DEDeaths,8008
11,DEDeaths,4368
12,DEDeaths,1820
13,DEDeaths,560
14,DEDeaths,120
2,PLCases,90
3,PLCases,455
4,PLCases,1348
5,PLCases,2839
6,PLCases,4313
7,PLCases,4742
8,PLCases,6384
9,PLCases,4873
10,PLCases,2792
11,PLCases,1149
12,PLCases,455
13,PLCases,105
14,PLCases,15
2,PLDeaths,106
3,PLDeaths,560
4,PLDeaths,1801
5,PLDeaths,4173
6,PLDeaths,7106
7,PLDeaths,8954
8,PLDeaths,12825
9,PLDeaths,11320
10,PLDeaths,7798
11,PLDeaths,4116
12,PLDeaths,1820
13,PLDeaths,560
14,PLDeaths,120
