k,loctarg,nens
2,DECases,132
3,DECases,615
4,DECases,1914
5,DECases,4205
6,DECases,6725
7,DECases,7954
8,DECases,6989
9,DECases,4535
10,DECases,2134
11,DECases,703
12,DECases,152
13,DECases,19
14,DECases,1
2,DEDeaths,120
3,DEDeaths,558
4,DEDeaths,1795
5,DEDeaths,4224
6,DEDeaths,7502
7,DEDeaths,10230
8,DEDeaths,10791
9,DEDeaths,8800
10,DEDeaths,5500
11,DEDeaths,2586
12,DEDeaths,885
13,DEDeaths,208
14,DEDeaths,30
2,PLCases,90
3,PLCases,300
4,PLCases,634
5,PLCases,908
6,PLCases,912
7,PLCases,650
8,PLCases,325
9,PLCases,109
10,PLCases,22
11,PLCases,2
12,PLCases,0
13,PLCases,0
14,PLCases,0
2,PLDeaths,106
3,PLDeaths,395
4,PLDeaths,936
5,PLDeaths,1498
6,PLDeaths,1666
7,PLDeaths,1296
8,PLDeaths,695
9,PLDeaths,246
10,PLDeaths,52
11,PLDeaths,5
12,PLDeaths,0
13,PLDeaths,0
14,PLDeaths,0
