k,loctarg,nens
2,DECases,91
3,DECases,364
4,DECases,1001
5,DECases,2002
6,DECases,3003
7,DECases,3432
8,DECases,3003
9,DECases,2002
10,DECases,1001
11,DECases,364
12,DECases,91
13,DECases,14
14,DECases,1
2,DEDeaths,78
3,DEDeaths,286
4,DEDeaths,715
5,DEDeaths,1287
6,DEDeaths,1716
7,DEDeaths,1716
8,DEDeaths,1287
9,DEDeaths,715
10,DEDeaths,286
11,DEDeaths,78
12,DEDeaths,13
13,DEDeaths,1
14,DEDeaths,120
2,PLCases,55
3,PLCases,165
4,PLCases,330
5,PLCases,462
6,PLCases,462
7,PLCases,330
8,PLCases,165
9,PLCases,55
10,PLCases,11
11,PLCases,1
12,PLCases,455
13,PLCases,105
14,PLCases,15
2,PLDeaths,55
3,PLDeaths,165
4,PLDeaths,330
5,PLDeaths,462
6,PLDeaths,462
7,PLDeaths,330
8,PLDeaths,165
9,PLDeaths,55
10,PLDeaths,11
11,PLDeaths,1
12,PLDeaths,1820
13,PLDeaths,560
14,PLDeaths,120
