k,loctarg,nens
2,DECases,90
3,DECases,340
4,DECases,829
5,DECases,1366
6,DECases,1553
7,DECases,1220
8,DECases,650
9,DECases,224
10,DECases,45
11,DECases,4
12,DECases,0
13,DECases,0
14,DECases,0
2,DEDeaths,78
3,DEDeaths,285
4,DEDeaths,704
5,DEDeaths,1234
6,DEDeaths,1568
7,DEDeaths,1450
8,DEDeaths,965
9,DEDeaths,449
10,DEDeaths,138
11,DEDeaths,25
12,DEDeaths,2
13,DEDeaths,0
14,DEDeaths,0
2,PLCases,55
3,PLCases,163
4,PLCases,310
5,PLCases,386
6,PLCases,311
7,PLCases,155
8,PLCases,43
9,PLCases,5
10,PLCases,0
11,PLCases,0
12,PLCases,0
13,PLCases,0
14,PLCases,0
2,PLDeaths,55
3,PLDeaths,165
4,PLDeaths,330
5,PLDeaths,461
6,PLDeaths,456
7,PLDeaths,315
8,PLDeaths,145
9,PLDeaths,40
10,PLDeaths,5
11,PLDeaths,0
12,PLDeaths,0
13,PLDeaths,0
14,PLDeaths,0
