model,location,target_type,forecast_date,target_val,current_val,rel_score,average,nmod,ens_type
mean_ensemble,AT,Cases,,8365.4673852657,8958.70481431159,0.933780893405686,average,3,mean
mean_ensemble,Average,Cases,,10952.1682720728,9787.38177715008,1.11900899765064,average,3,mean
mean_ensemble,BE,Cases,,19947.9243085749,17518.5270380435,1.1386758866916,average,3,mean
mean_ensemble,BG,Cases,,3493.75862167874,3064.23901494565,1.14017170483051,average,3,mean
mean_ensemble,CY,Cases,,2830.25551479469,2548.21404891304,1.11068201511641,average,3,mean
mean_ensemble,EE,Cases,,1767.60825785024,1616.05994791667,1.09377641598565,average,3,mean
mean_ensemble,ES,Cases,,36933.4256989734,37569.7873754529,0.983061877084371,average,3,mean
mean_ensemble,FI,Cases,,4429.82261020531,4349.78994112319,1.01839920321795,average,3,mean
mean_ensemble,GR,Cases,,13396.3083605072,13045.9037250906,1.02685936082318,average,3,mean
mean_ensemble,HR,Cases,,2721.54359450483,2943.05310914855,0.924734788524491,average,3,mean
mean_ensemble,HU,Cases,,5983.91554649759,5880.71129076087,1.01754962123355,average,3,mean
mean_ensemble,IT,Cases,,60317.9427989131,45463.9332653986,1.32672073150388,average,3,mean
mean_ensemble,LT,Cases,,2780.77322916667,2670.14595108696,1.04143117271724,average,3,mean
mean_ensemble,LV,Cases,,2329.10748792271,2254.39464447464,1.03314097805865,average,3,mean
mean_ensemble,MT,Cases,,815.879655797102,656.826981431159,1.24215307662816,average,3,mean
mean_ensemble,NO,Cases,,5017.42065368357,4940.44328125,1.01558106591887,average,3,mean
mean_ensemble,PT,Cases,,12696.7298248792,12211.2247803442,1.03975891470907,average,3,mean
mean_ensemble,RO,Cases,,10596.1051947464,9105.93005208333,1.16364886773121,average,3,mean
mean_ensemble,SI,Cases,,4952.20351902174,4030.48670742754,1.22868623034921,average,3,mean
mean_ensemble,SK,Cases,,8715.00490640097,7131.87779664855,1.22197900116802,average,3,mean
mean_ensemble,AT,Deaths,,17.8649033816425,16.2075747282609,1.10225642523133,average,3,mean
mean_ensemble,Average,Deaths,,29.1517263821793,25.5896662389292,1.139199163834,average,3,mean
mean_ensemble,BE,Deaths,,24.8651992753623,19.8564288949275,1.25224930459244,average,3,mean
mean_ensemble,BG,Deaths,,48.4594202898551,39.1768523550725,1.23694011582788,average,3,mean
mean_ensemble,CY,Deaths,,3.78022342995169,3.31076539855073,1.14179743197947,average,3,mean
mean_ensemble,EE,Deaths,,5.18908212560387,4.9437794384058,1.04961845289708,average,3,mean
mean_ensemble,FI,Deaths,,15.0749607487923,14.7967821557971,1.01879993839648,average,3,mean
mean_ensemble,GR,Deaths,,29.3271980676328,27.8097667572464,1.05456469029864,average,3,mean
mean_ensemble,HR,Deaths,,17.7797509057971,16.7834239130435,1.05936375068137,average,3,mean
mean_ensemble,HU,Deaths,,57.7026056763285,47.8969791666667,1.20472327650438,average,3,mean
mean_ensemble,IT,Deaths,,98.0971739130435,89.9415104166667,1.09067741311653,average,3,mean
mean_ensemble,LT,Deaths,,9.20572010869565,9.08720788043478,1.01304165479872,average,3,mean
mean_ensemble,LU,Deaths,,1.68948973429952,1.5414402173913,1.09604622692327,average,3,mean
mean_ensemble,LV,Deaths,,9.98429196859903,10.4844406702899,0.952296100724943,average,3,mean
mean_ensemble,MT,Deaths,,1.25321256038647,1.20662817028986,1.03860707983092,average,3,mean
mean_ensemble,PT,Deaths,,16.6730268719807,14.3915670289855,1.15852754869572,average,3,mean
mean_ensemble,RO,Deaths,,129.833996074879,109.615613677536,1.18444801537873,average,3,mean
mean_ensemble,SI,Deaths,,6.70003774154589,5.88785326086957,1.13794237809459,average,3,mean
mean_ensemble,SK,Deaths,,31.2507820048309,27.6753781702899,1.12919078512825,average,3,mean
median_ensemble,AT,Cases,,9191.64201992754,8958.70481431159,1.02600121451081,average,3,median
median_ensemble,Average,Cases,,12143.8645923913,9787.38177715008,1.24076743595951,average,3,median
median_ensemble,BE,Cases,,19934.9351721015,17518.5270380435,1.13793443528731,average,3,median
median_ensemble,BG,Cases,,3592.59351902174,3064.23901494565,1.17242600903489,average,3,median
median_ensemble,CY,Cases,,2934.57514039855,2548.21404891304,1.15162034431539,average,3,median
median_ensemble,EE,Cases,,1839.04264039855,1616.05994791667,1.13797922086327,average,3,median
median_ensemble,ES,Cases,,44236.2306748188,37569.7873754529,1.17744160308242,average,3,median
median_ensemble,FI,Cases,,4426.19172101449,4349.78994112319,1.01756447573916,average,3,median
median_ensemble,GR,Cases,,15835.2851766304,13045.9037250906,1.21381281897514,average,3,median
median_ensemble,HR,Cases,,3326.03795289855,2943.05310914855,1.13013181534492,average,3,median
median_ensemble,HU,Cases,,7002.92808423913,5880.71129076087,1.19083011186782,average,3,median
median_ensemble,IT,Cases,,70160.970004529,45463.9332653986,1.54322261549523,average,3,median
median_ensemble,LT,Cases,,2800.04410326087,2670.14595108696,1.0486483340437,average,3,median
median_ensemble,LV,Cases,,2423.27701992754,2254.39464447464,1.07491251625656,average,3,median
median_ensemble,MT,Cases,,814.130855978261,656.826981431159,1.23949057970236,average,3,median
median_ensemble,NO,Cases,,5340.33280797102,4940.44328125,1.08094203373181,average,3,median
median_ensemble,PT,Cases,,12816.4649501812,12211.2247803442,1.04956424770848,average,3,median
median_ensemble,RO,Cases,,10361.1143387681,9105.93005208333,1.13784251356045,average,3,median
median_ensemble,SI,Cases,,5781.61980978261,4030.48670742754,1.43447187138169,average,3,median
median_ensemble,SK,Cases,,7916.01126358696,7131.87779664855,1.10994768689207,average,3,median
median_ensemble,AT,Deaths,,17.3634918478261,16.2075747282609,1.07131956131288,average,3,median
median_ensemble,Average,Deaths,,29.5547325382448,25.5896662389292,1.15494794899996,average,3,median
median_ensemble,BE,Deaths,,26.0336911231884,19.8564288949275,1.31109633363323,average,3,median
median_ensemble,BG,Deaths,,50.7780027173913,39.1768523550725,1.29612257404382,average,3,median
median_ensemble,CY,Deaths,,3.66259057971015,3.31076539855073,1.10626702251794,average,3,median
median_ensemble,EE,Deaths,,5.35502717391304,4.9437794384058,1.08318488731768,average,3,median
median_ensemble,FI,Deaths,,16.5695516304348,14.7967821557971,1.11980777009298,average,3,median
median_ensemble,GR,Deaths,,30.7142300724638,27.8097667572464,1.10444040543636,average,3,median
median_ensemble,HR,Deaths,,18.0137047101449,16.7834239130435,1.07330332615536,average,3,median
median_ensemble,HU,Deaths,,63.4059420289855,47.8969791666667,1.32379835079687,average,3,median
median_ensemble,IT,Deaths,,96.2094021739131,89.9415104166667,1.06968853122668,average,3,median
median_ensemble,LT,Deaths,,9.48517663043478,9.08720788043478,1.04379439264913,average,3,median
median_ensemble,LU,Deaths,,1.64031702898551,1.5414402173913,1.06414573233436,average,3,median
median_ensemble,LV,Deaths,,9.88945652173913,10.4844406702899,0.943250749633526,average,3,median
median_ensemble,MT,Deaths,,1.42899456521739,1.20662817028986,1.18428742209302,average,3,median
median_ensemble,PT,Deaths,,16.021580615942,14.3915670289855,1.11326171664792,average,3,median
median_ensemble,RO,Deaths,,127.550126811594,109.615613677536,1.1636127603757,average,3,median
median_ensemble,SI,Deaths,,6.27224637681159,5.88785326086957,1.06528578395401,average,3,median
median_ensemble,SK,Deaths,,31.5916530797101,27.6753781702899,1.14150754816512,average,3,median
weighted.mean_ensemble,AT,Cases,,7936.53536060259,8958.70481431159,0.885902094678231,average,3,invscore_mean
weighted.mean_ensemble,Average,Cases,,10898.7035862046,9787.38177715008,1.11354638394193,average,3,invscore_mean
weighted.mean_ensemble,BE,Cases,,20724.1706545732,17518.5270380435,1.18298591026336,average,3,invscore_mean
weighted.mean_ensemble,BG,Cases,,3514.02523154304,3064.23901494565,1.14678561770266,average,3,invscore_mean
weighted.mean_ensemble,CY,Cases,,2641.42212761326,2548.21404891304,1.03657780583227,average,3,invscore_mean
weighted.mean_ensemble,EE,Cases,,1808.92101601955,1616.05994791667,1.11934029325552,average,3,invscore_mean
weighted.mean_ensemble,ES,Cases,,37876.7464945754,37569.7873754529,1.00817037147575,average,3,invscore_mean
weighted.mean_ensemble,FI,Cases,,4401.82790389659,4349.78994112319,1.01196332776473,average,3,invscore_mean
weighted.mean_ensemble,GR,Cases,,12144.2862807751,13045.9037250906,0.930888847310638,average,3,invscore_mean
weighted.mean_ensemble,HR,Cases,,2616.16814216342,2943.05310914855,0.888929980240925,average,3,invscore_mean
weighted.mean_ensemble,HU,Cases,,5604.84014620598,5880.71129076087,0.953088813424949,average,3,invscore_mean
weighted.mean_ensemble,IT,Cases,,59587.7538495162,45463.9332653986,1.31065989169193,average,3,invscore_mean
weighted.mean_ensemble,LT,Cases,,2849.4760292455,2670.14595108696,1.06716115202824,average,3,invscore_mean
weighted.mean_ensemble,LV,Cases,,2264.5629295756,2254.39464447464,1.00451042816567,average,3,invscore_mean
weighted.mean_ensemble,MT,Cases,,821.325649775461,656.826981431159,1.25044444426731,average,3,invscore_mean
weighted.mean_ensemble,NO,Cases,,5061.10558950211,4940.44328125,1.02442337688807,average,3,invscore_mean
weighted.mean_ensemble,PT,Cases,,12607.3160662129,12211.2247803442,1.03243665504432,average,3,invscore_mean
weighted.mean_ensemble,RO,Cases,,10977.8143419141,9105.93005208333,1.20556761133943,average,3,invscore_mean
weighted.mean_ensemble,SI,Cases,,4887.14523471557,4030.48670742754,1.21254468491593,average,3,invscore_mean
weighted.mean_ensemble,SK,Cases,,8749.92508946213,7131.87779664855,1.22687535302048,average,3,invscore_mean
weighted.mean_ensemble,AT,Deaths,,17.9324493021262,16.2075747282609,1.10642397784893,average,3,invscore_mean
weighted.mean_ensemble,Average,Deaths,,29.1493492860651,25.5896662389292,1.13910627101969,average,3,invscore_mean
weighted.mean_ensemble,BE,Deaths,,24.2374229629924,19.8564288949275,1.22063353341365,average,3,invscore_mean
weighted.mean_ensemble,BG,Deaths,,48.242621800168,39.1768523550725,1.23140627437165,average,3,invscore_mean
weighted.mean_ensemble,CY,Deaths,,3.78405750348228,3.31076539855073,1.1429554945629,average,3,invscore_mean
weighted.mean_ensemble,EE,Deaths,,5.25354939567975,4.9437794384058,1.06265853101526,average,3,invscore_mean
weighted.mean_ensemble,FI,Deaths,,15.018563879963,14.7967821557971,1.01498851046334,average,3,invscore_mean
weighted.mean_ensemble,GR,Deaths,,28.5447921183943,27.8097667572464,1.02643047557946,average,3,invscore_mean
weighted.mean_ensemble,HR,Deaths,,17.7090831915353,16.7834239130435,1.05515318467124,average,3,invscore_mean
weighted.mean_ensemble,HU,Deaths,,58.5785887456472,47.8969791666667,1.22301217665131,average,3,invscore_mean
weighted.mean_ensemble,IT,Deaths,,100.37006567688,89.9415104166667,1.1159481891276,average,3,invscore_mean
weighted.mean_ensemble,LT,Deaths,,9.49646894448159,9.08720788043478,1.04503705312255,average,3,invscore_mean
weighted.mean_ensemble,LU,Deaths,,1.68494719641577,1.5414402173913,1.09309928299868,average,3,invscore_mean
weighted.mean_ensemble,LV,Deaths,,10.1679346475002,10.4844406702899,0.96981183520008,average,3,invscore_mean
weighted.mean_ensemble,MT,Deaths,,1.30844157390428,1.20662817028986,1.08437844078343,average,3,invscore_mean
weighted.mean_ensemble,PT,Deaths,,16.5454805272285,14.3915670289855,1.14966497351573,average,3,invscore_mean
weighted.mean_ensemble,RO,Deaths,,127.38969476036,109.615613677536,1.1621491727913,average,3,invscore_mean
weighted.mean_ensemble,SI,Deaths,,6.77375461751066,5.88785326086957,1.1504625399768,average,3,invscore_mean
weighted.mean_ensemble,SK,Deaths,,31.6503703049026,27.6753781702899,1.14362918946054,average,3,invscore_mean
weighted.median_ensemble,AT,Cases,,10709.0807993659,8958.70481431159,1.19538270557348,average,3,invscore_median
weighted.median_ensemble,Average,Cases,,9706.49590942228,9787.38177715008,0.99173569913083,average,3,invscore_median
weighted.median_ensemble,BE,Cases,,19966.691240942,17518.5270380435,1.13974714869476,average,3,invscore_median
weighted.median_ensemble,BG,Cases,,3117.01012001812,3064.23901494565,1.0172216021058,average,3,invscore_median
weighted.median_ensemble,CY,Cases,,2447.60970335145,2548.21404891304,0.960519664506007,average,3,invscore_median
weighted.median_ensemble,EE,Cases,,1662.23883605072,1616.05994791667,1.02857498460598,average,3,invscore_median
weighted.median_ensemble,ES,Cases,,34674.6008491848,37569.7873754529,0.922938437278467,average,3,invscore_median
weighted.median_ensemble,FI,Cases,,4503.27681668931,4349.78994112319,1.03528604315235,average,3,invscore_median
weighted.median_ensemble,GR,Cases,,13096.3608446558,13045.9037250906,1.00386765996657,average,3,invscore_median
weighted.median_ensemble,HR,Cases,,2552.42336730072,2943.05310914855,0.867270576724034,average,3,invscore_median
weighted.median_ensemble,HU,Cases,,5369.59933084239,5880.71129076087,0.913086711003568,average,3,invscore_median
weighted.median_ensemble,IT,Cases,,40154.0076313406,45463.9332653986,0.883205757780328,average,3,invscore_median
weighted.median_ensemble,LT,Cases,,2979.89229279891,2670.14595108696,1.11600352467095,average,3,invscore_median
weighted.median_ensemble,LV,Cases,,2230.61098278985,2254.39464447464,0.989450089520451,average,3,invscore_median
weighted.median_ensemble,MT,Cases,,598.28441576087,656.826981431159,0.910870644286367,average,3,invscore_median
weighted.median_ensemble,NO,Cases,,5110.32193161232,4940.44328125,1.0343853052634,average,3,invscore_median
weighted.median_ensemble,PT,Cases,,14002.0961730072,12211.2247803442,1.14665780254457,average,3,invscore_median
