model,target_type,forecast_date,location,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
CovidMetrics-epiBATS,Cases,2021-06-07,DE,4931.49239130435,4145.16630434783,0,786.326086956522,0.223478260869565,0.3,6902.5,2.12587928027817,0.630784496484437
CovidMetrics-epiBATS,Cases,2021-06-14,DE,4619.16869565217,3899.76652173913,0,719.402173913044,0.18,0.35,6069.25,2.03434374415069,0.781426619874624
CovidMetrics-epiBATS,Cases,2021-06-21,DE,3303.39402173913,3253.39402173913,33.9347826086957,16.0652173913044,0.397391304347826,-0.0500000000000001,1150,1.75297150698867,1.0270052635362
CovidMetrics-epiBATS,Cases,2021-06-28,DE,3260.00445652174,3054.43923913044,199.95652173913,5.60869565217391,0.353913043478261,-0.1,3149.5,0.961578729175062,1.11355175259225
CovidMetrics-epiBATS,Cases,2021-07-05,DE,3573.30717391304,3115.36152173913,457.945652173913,0,0.310434782608696,-0.2,5092.25,0.891374751963943,1.07616024949153
CovidMetrics-epiBATS,Cases,2021-07-12,DE,4040.62804347826,3344.35630434783,696.271739130435,0,0.245217391304348,-0.275,6499.25,1.23835944869023,1.00880436321483
CovidMetrics-epiBATS,Cases,2021-07-19,DE,4659.56532608696,3757.92402173913,901.641304347826,0,0.245217391304348,-0.275,7050.25,0.848900464258669,0.944838975907246
CovidMetrics-epiBATS,Cases,2021-07-26,DE,6617.98032608696,3961.37163043478,2656.60869565217,0,0.158260869565217,-0.375,11882,1.33748987013708,0.85164629292187
CovidMetrics-epiBATS,Cases,2021-08-02,DE,11314.429673913,4070.17967391304,7244.25,0,-0.0373913043478261,-0.6,21047.25,1.457049473987,0.892606331435954
CovidMetrics-epiBATS,Cases,2021-08-09,DE,15660.0644565217,4298.70576086956,11361.3586956522,0,-0.189565217391304,-0.775,27966.75,1.42706012887133,0.825267040713018
CovidMetrics-epiBATS,Cases,2021-08-16,DE,13939.9138043478,4512.41380434783,9427.5,0,-0.211304347826087,-0.8,25439,0.985279399344202,0.685031946072213
CovidMetrics-epiBATS,Cases,2021-08-23,DE,6943.51260869565,4601.04521739131,2342.46739130435,0,0.0495652173913044,-0.5,11237.75,0.266465015807205,0.538156279304962
CovidMetrics-epiBATS,Cases,2021-08-30,DE,5510.92619565217,4622.41532608696,101.576086956522,786.934782608696,0.26695652173913,0.05,6719.75,0.166817531244117,0.998670304835758
CovidMetrics-epiBATS,Cases,2021-09-06,DE,7371.02054347826,4594.08576086957,0,2776.9347826087,0.136521739130435,0.4,12567.5,0.293504811176148,0.738123954870999
CovidMetrics-epiBATS,Cases,2021-09-13,DE,8114.94173913044,4565.34391304348,0,3549.59782608696,0.00608695652173913,0.55,14661.25,0.652600216498276,1.55794846984481
CovidMetrics-epiBATS,Cases,2021-09-20,DE,4757.63391304348,4553.04695652174,131.619565217391,72.9673913043478,0.332173913043478,-0.025,2733,0.667999802905408,0.882452149956152
CovidMetrics-epiBATS,Cases,2021-09-27,DE,8825.2872826087,4443.15684782609,4382.13043478261,0,0.00608695652173913,-0.55,15771.5,0.789481375774815,1.35636376508711
CovidMetrics-epiBATS,Cases,2021-10-04,DE,15612.7919565217,4505.83543478261,11106.9565217391,0,0.00608695652173914,-0.52,24398,0.917888049238096,0.955705605142657
CovidMetrics-epiBATS,Cases,2021-10-11,DE,31177.0470652174,4492.19923913044,26684.847826087,0,-0.276521739130435,-0.775,44782,0.981663130941203,0.905289703778554
CovidMetrics-epiBATS,Cases,2021-10-18,DE,62284.2973913044,4475.5147826087,57808.7826086957,0,-0.537391304347826,-0.995,77954.5,1.20309490798433,0.897645477089944
CovidMetrics-epiBATS,Cases,2021-10-25,DE,77076.9992391305,4590.39054347826,72486.6086956522,0,-0.515652173913044,-0.99,93146,1.50405215257712,0.89339001740859
CovidMetrics-epiBATS,Cases,2021-11-01,DE,107379.5325,4964.49989130435,102415.032608696,0,-0.40695652173913,-0.875,123746.75,1.65444511980781,0.86060738559149
CovidMetrics-epiBATS,Cases,2021-11-08,DE,112777.432608696,5160.93260869565,107616.5,0,-0.559130434782609,-1,130899,1.37321467874342,0.767860240204042
CovidMetrics-epiBATS,Cases,2021-11-15,DE,22049.4679347826,6136.0875,15888.597826087,24.7826086956522,-0.102608695652174,-0.575,30219.25,0.249528171053901,0.23512193488746
CovidMetrics-epiBATS,Cases,2021-11-22,DE,47183.2194565218,6522.54554347826,4448.46739130435,36212.2065217391,-0.341739130434783,0.3375,66197,0.524757892704262,1.36264916550716
CovidMetrics-epiBATS,Cases,2021-11-29,DE,78094.3741304348,6862.42847826087,0,71231.9456521739,-0.428695652173913,0.9375,101193.75,0.595183725987717,1.11016471896667
CovidMetrics-epiBATS,Cases,2021-12-06,DE,93024.7185869565,6592.10989130435,0,86432.6086956522,-0.515652173913044,0.9875,116003,1.2185902727121,0.835294127234899
CovidMetrics-epiBATS,Cases,2021-12-20,DE,76193.7816304348,7294.31423913044,54999.4565217391,13900.0108695652,-0.493913043478261,-0.025,100986.75,0.892726222545765,1.1823652665034
CovidMetrics-epiBATS,Cases,2021-12-27,DE,238475.033913044,7717.39260869565,230757.641304348,0,-0.537391304347826,-0.995,265768.25,0.985903094313417,1.35079034833814
CovidMetrics-epiBATS,Cases,2022-01-03,DE,325057.754347826,7735.35217391304,317322.402173913,0,-0.559130434782609,-1,352218.75,0.791079340803064,0.910926493621053
CovidMetrics-epiBATS,Cases,2022-01-10,DE,347533.310652174,8929.5497826087,338603.760869565,0,-0.559130434782609,-1,378887.5,1.5635233026028,0.775790452941016
CovidMetrics-epiBATS,Cases,2022-01-17,DE,480061.484673913,9310.76728260869,470750.717391305,0,-0.559130434782609,-1,512754.5,1.97646703504605,0.865726322644755
CovidMetrics-epiBATS,Cases,2022-01-24,DE,96596.4063043478,13499.7323913043,14816.3043478261,68280.3695652174,-0.385217391304348,-0.05,136691,0.287790118588852,0.224058164997126
CovidMetrics-epiBATS,Cases,2022-01-31,DE,155532.400869565,4169.41173913044,3970.76086956522,147392.22826087,-0.493913043478261,0.475,169462.25,0.521246545173915,1.07244848277646
CovidMetrics-epiBATS,Cases,2022-02-07,DE,818967.227826087,18463.0213043478,0,800504.206521739,-0.559130434782609,1,883796.75,2.53156234986505,10.7622188828984
CovidMetrics-epiBATS,Cases,2022-02-14,DE,57213.4930434783,9466.50391304348,47746.9891304348,0,0.0278260869565217,-0.475,72368.75,0.323961258261364,0.56077218767548
CovidMetrics-epiBATS,Cases,2022-02-21,DE,104769.461630435,15604.7768478261,69741.3695652174,19423.3152173913,-0.428695652173913,0.0375,153458.75,0.562817878114909,0.999891141345051
CovidMetrics-epiBATS,Cases,2022-02-28,DE,376457.535,8066.83934782609,368390.695652174,0,-0.559130434782609,-1,404783,1.34717235421229,1.73144257859693
CovidMetrics-epiBATS,Cases,2022-03-07,DE,113173.06076087,10725.8651086957,98556.3260869565,3890.86956521739,-0.428695652173913,-0.6,140856.5,0.439794809000554,0.362034091231008
DSMPG-bayes,Cases,2021-03-15,CZ,18160.079673913,12988.8948913043,0,5171.1847826087,-0.0373913043478261,0.6,23432.75,1.30539923657057,0.754224325225852
