model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
EuroCOVIDhub-baseline,Deaths,DE,4,268.798486622074,120.969055183947,80.5041806020067,67.3252508361204,0.0545819397993311,-0.0173076923076923,423.730769230769,0.827561486089133,1
EuroCOVIDhub-baseline,Cases,FR,1,94744.4189464883,4186.79018394649,46651.6680602007,43905.9607023411,-0.219665551839465,-0.0507692307692308,113750.576923077,1.19911919120787,1
EuroCOVIDhub-baseline,Cases,FR,2,173280.513904682,8554.50470735786,86419.2993311037,78306.7098662207,-0.202943143812709,-0.111730769230769,206558.865384615,1.09781216396555,1
EuroCOVIDhub-baseline,Cases,FR,3,243485.729548495,12384.3992809365,125046.727424749,106054.602842809,-0.189565217391304,-0.0557692307692308,288379.288461538,0.979229818340795,1
EuroCOVIDhub-baseline,Cases,FR,4,303921.643352843,15781.2971989967,158948.387123746,129191.9590301,-0.199598662207358,-0.0742307692307692,358641.153846154,0.959882533211568,1
EuroCOVIDhub-baseline,Deaths,FR,1,114.235618729097,47.1804347826087,31.0376254180602,36.0175585284281,0.018628762541806,2.11627924052459e-18,167.307692307692,0.871374767236598,1
EuroCOVIDhub-baseline,Deaths,FR,2,176.258168896321,89.9111789297659,34.8311036789298,51.5158862876254,0.0729765886287626,-1.06606263613815e-17,270.134615384615,1.05441186782235,1
EuroCOVIDhub-baseline,Deaths,FR,3,234.071546822742,122.588269230769,40.2316053511706,71.2516722408027,0.0796655518394649,0.0192307692307692,369.153846153846,1.10376036385623,1
EuroCOVIDhub-baseline,Deaths,FR,4,282.538595317726,148.924046822742,47.25,86.3645484949833,0.0830100334448161,0.0298076923076923,450.673076923077,1.00254239955296,1
EuroCOVIDhub-baseline,Cases,GB,1,72177.4303762542,3168.72970735786,36865.491638796,32143.2090301003,-0.197926421404682,-0.218076923076923,84560.8846153846,1.01970009432881,1
EuroCOVIDhub-baseline,Cases,GB,2,112659.865719064,6553.85903010033,59190.6663879599,46915.3403010034,-0.194581939799331,-0.205192307692308,134650.192307692,0.995476849832535,1
EuroCOVIDhub-baseline,Cases,GB,3,129365.62367893,9480.00494983278,69605.266722408,50280.352006689,-0.196254180602007,-0.199038461538462,159101.730769231,0.877376511141032,1
EuroCOVIDhub-baseline,Cases,GB,4,125519.499941472,11961.9932525084,70705.860367893,42851.6463210702,-0.141070234113712,-0.219230769230769,158000.576923077,0.76194234815433,1
EuroCOVIDhub-baseline,Deaths,GB,1,132.402842809365,53.0508361204013,36.8879598662207,42.4640468227425,0.0278260869565217,-0.196538461538462,168.173076923077,1.25234360862405,1
EuroCOVIDhub-baseline,Deaths,GB,2,189.540326086957,108.8797909699,36.7968227424749,43.8637123745819,0.146555183946488,-0.0932692307692308,236.961538461538,1.46204574351036,1
EuroCOVIDhub-baseline,Deaths,GB,3,235.820526755853,153.701797658863,37.559364548495,44.559364548495,0.185016722408027,-0.0682692307692308,300.807692307692,1.4798285767004,1
EuroCOVIDhub-baseline,Deaths,GB,4,269.885217391304,189.243913043478,36.9607023411371,43.680602006689,0.212608695652174,-0.0730769230769231,344.173076923077,1.32736496244866,1
EuroCOVIDhub-baseline,Cases,PL,1,14680.3984197324,1097.58487458194,7163.08528428094,6419.72826086957,-0.13438127090301,-0.0340384615384615,18876.5576923077,1.44421454665183,1
EuroCOVIDhub-baseline,Cases,PL,2,28944.8729598662,2456.15724080268,13526.254180602,12962.4615384615,-0.144414715719064,0.0413461538461539,37062.3076923077,1.25912259790581,1
EuroCOVIDhub-baseline,Cases,PL,3,39413.5147993311,3676.98804347826,17355.7341137124,18380.7926421405,-0.136053511705686,0.0584615384615385,50177.4615384615,1.04615744170955,1
EuroCOVIDhub-baseline,Cases,PL,4,46533.4640217391,4679.03007525084,19441.8093645485,22412.6245819398,-0.144414715719064,0.0834615384615385,59654.4423076923,0.913339464857934,1
EuroCOVIDhub-baseline,Deaths,PL,1,172.579381270903,25.7399163879599,64.5836120401338,82.2558528428094,-0.117658862876254,-0.0586538461538462,244.653846153846,1.06642942142999,1
