model,location,target_type,forecast_date,target_val,current_val,rel_score,average,nmod
mean_ensemble,CZ,Cases,2021-04-12,1187.77572463768,1266.51456521739,0.937830292092855,,3
mean_ensemble,CZ,Deaths,2021-04-12,40.191231884058,25.7866304347826,1.55860735607571,,3
mean_ensemble,DE,Cases,2021-04-12,11403.1047101449,9887.81369565217,1.15324833791711,,3
mean_ensemble,DE,Deaths,2021-04-12,73.0262318840582,114.1175,0.639921413315733,,3
mean_ensemble,FR,Cases,2021-04-12,44833.1489130435,38812.7977173913,1.15511252859143,,3
mean_ensemble,FR,Deaths,2021-04-12,201.991014492754,175.354673913044,1.15189980389641,,3
mean_ensemble,GB,Cases,2021-04-12,5288.54557971015,4299.73608695652,1.2299698104154,,3
mean_ensemble,GB,Deaths,2021-04-12,49.7742028985507,45.4426086956522,1.09532010435204,,3
mean_ensemble,PL,Cases,2021-04-12,25822.7003623188,13731.7445652174,1.88051126640732,,3
mean_ensemble,PL,Deaths,2021-04-12,89.9313768115939,157.005217391304,0.572792282357457,,3
mean_ensemble,CZ,Cases,2021-04-19,1074.32456521739,1119.7697826087,0.959415570863657,,3
mean_ensemble,CZ,Deaths,2021-04-19,31.8965217391304,20.1377173913043,1.5839194243983,,3
mean_ensemble,DE,Cases,2021-04-19,16048.9503623188,11563.9865217391,1.38783890245361,,3
mean_ensemble,DE,Deaths,2021-04-19,99.2551449275361,87.1471739130435,1.1389370471907,,3
mean_ensemble,FR,Cases,2021-04-19,33992.2188405797,35707.7043478261,0.95195755261845,,3
mean_ensemble,FR,Deaths,2021-04-19,148.22768115942,185.61652173913,0.798569436441346,,3
mean_ensemble,GB,Cases,2021-04-19,1639.8415942029,1934.58043478261,0.847647151144258,,3
mean_ensemble,GB,Deaths,2021-04-19,20.7473913043478,21.204347826087,0.978449866721343,,3
mean_ensemble,PL,Cases,2021-04-19,8158.75739130434,15751.6719565217,0.517961357614887,,3
mean_ensemble,PL,Deaths,2021-04-19,336.888985507246,179.153586956522,1.88044789518507,,3
mean_ensemble,CZ,Cases,2021-04-26,1050.87652173913,1382.19108695652,0.760297567866018,,3
mean_ensemble,CZ,Deaths,2021-04-26,17.99,15.6810869565217,1.14724190037847,,3
mean_ensemble,DE,Cases,2021-04-26,28267.7682608695,17750.3095652174,1.59252255049465,,3
mean_ensemble,DE,Deaths,2021-04-26,95.8239130434782,71.7276086956522,1.33594183308228,,3
mean_ensemble,FR,Cases,2021-04-26,43375.5094202899,30264.9198913043,1.43319425843755,,3
mean_ensemble,FR,Deaths,2021-04-26,145.433623188406,166.887391304348,0.871447639343724,,3
mean_ensemble,GB,Cases,2021-04-26,948.642391304346,1395.97586956522,0.679555006634753,,3
mean_ensemble,GB,Deaths,2021-04-26,20.4497101449275,7.88847826086957,2.59235171457179,,3
mean_ensemble,PL,Cases,2021-04-26,3688.32826086956,4798.89,0.768579455013464,,3
mean_ensemble,PL,Deaths,2021-04-26,134.459057971015,200.922826086957,0.669207479257846,,3
mean_ensemble,CZ,Cases,2021-05-03,1099.8965942029,1585.65934782609,0.693652514779318,,3
mean_ensemble,CZ,Deaths,2021-05-03,17.6597101449275,13.499347826087,1.30818987498054,,3
mean_ensemble,DE,Cases,2021-05-03,26472.6358695652,14031.9893478261,1.88659178776148,,3
mean_ensemble,DE,Deaths,2021-05-03,138.440869565217,76.5147826086957,1.80933493953996,,3
mean_ensemble,FR,Cases,2021-05-03,14701.2260144928,13864.3086956522,1.0603648791449,,3
mean_ensemble,FR,Deaths,2021-05-03,114.456884057971,178.443913043478,0.641416577936638,,3
mean_ensemble,GB,Cases,2021-05-03,1046.15688405798,929.242608695652,1.12581673964179,,3
mean_ensemble,GB,Deaths,2021-05-03,17.9133333333333,9.54173913043478,1.8773656550928,,3
mean_ensemble,PL,Cases,2021-05-03,1540.40702898551,2649.26695652174,0.581446511154139,,3
mean_ensemble,PL,Deaths,2021-05-03,116.962028985507,116.507173913043,1.00390409497705,,3
mean_ensemble,CZ,Cases,2021-05-10,1001.01688405797,1230.03260869565,0.813813289974049,,3
mean_ensemble,CZ,Deaths,2021-05-10,23.5789130434782,34.3636956521739,0.686157661333687,,3
mean_ensemble,DE,Cases,2021-05-10,9244.97550724638,9818.6297826087,0.9415749154349,,3
mean_ensemble,DE,Deaths,2021-05-10,69.9684057971012,55.8401086956522,1.25301342406859,,3
mean_ensemble,FR,Cases,2021-05-10,182739.318913044,176889.695326087,1.0330693293138,,3
mean_ensemble,FR,Deaths,2021-05-10,106.532101449275,98.3280434782609,1.08343558643906,,3
mean_ensemble,GB,Cases,2021-05-10,1074.36239130435,1096.38706521739,0.979911589062137,,3
mean_ensemble,GB,Deaths,2021-05-10,7.50144927536231,8.70554347826087,0.861686498274878,,3
mean_ensemble,PL,Cases,2021-05-10,1160.15673913044,2117.51543478261,0.54788584775985,,3
mean_ensemble,PL,Deaths,2021-05-10,133.339927536232,99.6982608695652,1.33743483961751,,3
mean_ensemble,CZ,Cases,2021-05-17,476.513115942029,617.967608695652,0.771097237519953,,3
mean_ensemble,CZ,Deaths,2021-05-17,20.7089130434783,26.6848913043478,0.776053865361038,,3
