ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,6
1,IEM_Health-CovidProject,2,6
1,ILM-EKF,3,6
1,RobertWalraven-ESG,4,6
1,epiforecasts-EpiNow2,5,6
1,UMass-MechBayes,6,6
2,EuroCOVIDhub-baseline,1,6
2,IEM_Health-CovidProject,2,6
2,ILM-EKF,3,6
2,RobertWalraven-ESG,4,6
2,epiforecasts-EpiNow2,5,6
2,MUNI-ARIMA,6,6
3,EuroCOVIDhub-baseline,1,6
3,IEM_Health-CovidProject,2,6
3,ILM-EKF,3,6
3,RobertWalraven-ESG,4,6
3,UMass-MechBayes,5,6
3,MUNI-ARIMA,6,6
5,EuroCOVIDhub-baseline,1,6
5,IEM_Health-CovidProject,2,6
5,RobertWalraven-ESG,3,6
5,epiforecasts-EpiNow2,4,6
5,UMass-MechBayes,5,6
5,MUNI-ARIMA,6,6
