ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,8
1,IEM_Health-CovidProject,2,8
1,ILM-EKF,3,8
1,MUNI_DMS-SEIAR,4,8
1,RobertWalraven-ESG,5,8
1,epiforecasts-EpiNow2,6,8
1,UMass-MechBayes,7,8
1,MUNI-ARIMA,8,8
