ensid,model,modelid,k
13,MIT_CovidAnalytics-DELPHI,7,12
13,MOCOS-agent1,8,12
13,RobertWalraven-ESG,9,12
13,epiforecasts-EpiExpert,10,12
13,epiforecasts-EpiExpert_direct,11,12
13,MUNI-ARIMA,12,12
14,EuroCOVIDhub-baseline,1,12
14,ICM-agentModel,2,12
14,IEM_Health-CovidProject,3,12
14,ILM-EKF,4,12
14,ITWW-county_repro,5,12
14,MIMUW-StochSEIR,6,12
14,MIT_CovidAnalytics-DELPHI,7,12
14,MOCOS-agent1,8,12
14,RobertWalraven-ESG,9,12
14,epiforecasts-EpiExpert,10,12
14,epiforecasts-EpiExpert_direct,11,12
14,Karlen-pypm,12,12
15,EuroCOVIDhub-baseline,1,12
15,ICM-agentModel,2,12
15,IEM_Health-CovidProject,3,12
15,ILM-EKF,4,12
15,ITWW-county_repro,5,12
15,MIMUW-StochSEIR,6,12
15,MIT_CovidAnalytics-DELPHI,7,12
15,MOCOS-agent1,8,12
15,RobertWalraven-ESG,9,12
15,epiforecasts-EpiExpert,10,12
15,MUNI-ARIMA,11,12
15,Karlen-pypm,12,12
16,EuroCOVIDhub-baseline,1,12
16,ICM-agentModel,2,12
16,IEM_Health-CovidProject,3,12
16,ILM-EKF,4,12
16,ITWW-county_repro,5,12
16,MIMUW-StochSEIR,6,12
16,MIT_CovidAnalytics-DELPHI,7,12
16,MOCOS-agent1,8,12
16,RobertWalraven-ESG,9,12
16,epiforecasts-EpiNow2,10,12
16,UMass-MechBayes,11,12
16,epiforecasts-EpiExpert_Rt,12,12
17,EuroCOVIDhub-baseline,1,12
17,ICM-agentModel,2,12
17,IEM_Health-CovidProject,3,12
17,ILM-EKF,4,12
17,ITWW-county_repro,5,12
17,MIMUW-StochSEIR,6,12
17,MIT_CovidAnalytics-DELPHI,7,12
17,MOCOS-agent1,8,12
17,RobertWalraven-ESG,9,12
17,epiforecasts-EpiNow2,10,12
17,UMass-MechBayes,11,12
17,epiforecasts-EpiExpert_direct,12,12
18,EuroCOVIDhub-baseline,1,12
18,ICM-agentModel,2,12
18,IEM_Health-CovidProject,3,12
18,ILM-EKF,4,12
18,ITWW-county_repro,5,12
18,MIMUW-StochSEIR,6,12
18,MIT_CovidAnalytics-DELPHI,7,12
18,MOCOS-agent1,8,12
18,RobertWalraven-ESG,9,12
18,epiforecasts-EpiNow2,10,12
18,UMass-MechBayes,11,12
18,MUNI-ARIMA,12,12
19,EuroCOVIDhub-baseline,1,12
19,ICM-agentModel,2,12
19,IEM_Health-CovidProject,3,12
19,ILM-EKF,4,12
19,ITWW-county_repro,5,12
19,MIMUW-StochSEIR,6,12
19,MIT_CovidAnalytics-DELPHI,7,12
19,MOCOS-agent1,8,12
19,RobertWalraven-ESG,9,12
19,epiforecasts-EpiNow2,10,12
19,UMass-MechBayes,11,12
19,Karlen-pypm,12,12
20,EuroCOVIDhub-baseline,1,12
20,ICM-agentModel,2,12
20,IEM_Health-CovidProject,3,12
20,ILM-EKF,4,12
20,ITWW-county_repro,5,12
20,MIMUW-StochSEIR,6,12
20,MIT_CovidAnalytics-DELPHI,7,12
20,MOCOS-agent1,8,12
20,RobertWalraven-ESG,9,12
20,epiforecasts-EpiNow2,10,12
20,epiforecasts-EpiExpert_Rt,11,12
20,epiforecasts-EpiExpert_direct,12,12
21,EuroCOVIDhub-baseline,1,12
21,ICM-agentModel,2,12
21,IEM_Health-CovidProject,3,12
21,ILM-EKF,4,12
21,ITWW-county_repro,5,12
21,MIMUW-StochSEIR,6,12
21,MIT_CovidAnalytics-DELPHI,7,12
21,MOCOS-agent1,8,12
21,RobertWalraven-ESG,9,12
21,epiforecasts-EpiNow2,10,12
21,epiforecasts-EpiExpert_Rt,11,12
21,MUNI-ARIMA,12,12
22,EuroCOVIDhub-baseline,1,12
22,ICM-agentModel,2,12
22,IEM_Health-CovidProject,3,12
22,ILM-EKF,4,12
22,ITWW-county_repro,5,12
22,MIMUW-StochSEIR,6,12
22,MIT_CovidAnalytics-DELPHI,7,12
22,MOCOS-agent1,8,12
22,RobertWalraven-ESG,9,12
22,epiforecasts-EpiNow2,10,12
22,epiforecasts-EpiExpert_Rt,11,12
22,Karlen-pypm,12,12
23,EuroCOVIDhub-baseline,1,12
23,ICM-agentModel,2,12
23,IEM_Health-CovidProject,3,12
23,ILM-EKF,4,12
23,ITWW-county_repro,5,12
23,MIMUW-StochSEIR,6,12
23,MIT_CovidAnalytics-DELPHI,7,12
23,MOCOS-agent1,8,12
23,RobertWalraven-ESG,9,12
23,epiforecasts-EpiNow2,10,12
23,epiforecasts-EpiExpert_direct,11,12
23,MUNI-ARIMA,12,12
24,EuroCOVIDhub-baseline,1,12
24,ICM-agentModel,2,12
24,IEM_Health-CovidProject,3,12
24,ILM-EKF,4,12
24,ITWW-county_repro,5,12
24,MIMUW-StochSEIR,6,12
24,MIT_CovidAnalytics-DELPHI,7,12
24,MOCOS-agent1,8,12
24,RobertWalraven-ESG,9,12
24,epiforecasts-EpiNow2,10,12
24,epiforecasts-EpiExpert_direct,11,12
24,Karlen-pypm,12,12
25,EuroCOVIDhub-baseline,1,12
25,ICM-agentModel,2,12
25,IEM_Health-CovidProject,3,12
25,ILM-EKF,4,12
25,ITWW-county_repro,5,12
25,MIMUW-StochSEIR,6,12
25,MIT_CovidAnalytics-DELPHI,7,12
25,MOCOS-agent1,8,12
25,RobertWalraven-ESG,9,12
25,epiforecasts-EpiNow2,10,12
25,MUNI-ARIMA,11,12
25,Karlen-pypm,12,12
26,EuroCOVIDhub-baseline,1,12
26,ICM-agentModel,2,12
26,IEM_Health-CovidProject,3,12
26,ILM-EKF,4,12
26,ITWW-county_repro,5,12
26,MIMUW-StochSEIR,6,12
26,MIT_CovidAnalytics-DELPHI,7,12
26,MOCOS-agent1,8,12
26,RobertWalraven-ESG,9,12
26,UMass-MechBayes,10,12
26,epiforecasts-EpiExpert_Rt,11,12
26,epiforecasts-EpiExpert_direct,12,12
27,EuroCOVIDhub-baseline,1,12
27,ICM-agentModel,2,12
27,IEM_Health-CovidProject,3,12
27,ILM-EKF,4,12
27,ITWW-county_repro,5,12
27,MIMUW-StochSEIR,6,12
27,MIT_CovidAnalytics-DELPHI,7,12
27,MOCOS-agent1,8,12
27,RobertWalraven-ESG,9,12
27,UMass-MechBayes,10,12
27,epiforecasts-EpiExpert_Rt,11,12
27,MUNI-ARIMA,12,12
28,EuroCOVIDhub-baseline,1,12
28,ICM-agentModel,2,12
28,IEM_Health-CovidProject,3,12
28,ILM-EKF,4,12
28,ITWW-county_repro,5,12
28,MIMUW-StochSEIR,6,12
28,MIT_CovidAnalytics-DELPHI,7,12
28,MOCOS-agent1,8,12
28,RobertWalraven-ESG,9,12
28,UMass-MechBayes,10,12
28,epiforecasts-EpiExpert_Rt,11,12
28,Karlen-pypm,12,12
29,EuroCOVIDhub-baseline,1,12
29,ICM-agentModel,2,12
29,IEM_Health-CovidProject,3,12
29,ILM-EKF,4,12
29,ITWW-county_repro,5,12
29,MIMUW-StochSEIR,6,12
29,MIT_CovidAnalytics-DELPHI,7,12
29,MOCOS-agent1,8,12
29,RobertWalraven-ESG,9,12
29,UMass-MechBayes,10,12
29,epiforecasts-EpiExpert_direct,11,12
29,MUNI-ARIMA,12,12
30,EuroCOVIDhub-baseline,1,12
30,ICM-agentModel,2,12
30,IEM_Health-CovidProject,3,12
30,ILM-EKF,4,12
30,ITWW-county_repro,5,12
30,MIMUW-StochSEIR,6,12
30,MIT_CovidAnalytics-DELPHI,7,12
30,MOCOS-agent1,8,12
30,RobertWalraven-ESG,9,12
30,UMass-MechBayes,10,12
30,epiforecasts-EpiExpert_direct,11,12
30,Karlen-pypm,12,12
31,EuroCOVIDhub-baseline,1,12
31,ICM-agentModel,2,12
31,IEM_Health-CovidProject,3,12
31,ILM-EKF,4,12
31,ITWW-county_repro,5,12
31,MIMUW-StochSEIR,6,12
31,MIT_CovidAnalytics-DELPHI,7,12
31,MOCOS-agent1,8,12
31,RobertWalraven-ESG,9,12
31,UMass-MechBayes,10,12
31,MUNI-ARIMA,11,12
31,Karlen-pypm,12,12
32,EuroCOVIDhub-baseline,1,12
32,ICM-agentModel,2,12
32,IEM_Health-CovidProject,3,12
32,ILM-EKF,4,12
32,ITWW-county_repro,5,12
32,MIMUW-StochSEIR,6,12
32,MIT_CovidAnalytics-DELPHI,7,12
32,MOCOS-agent1,8,12
32,RobertWalraven-ESG,9,12
32,epiforecasts-EpiExpert_Rt,10,12
32,epiforecasts-EpiExpert_direct,11,12
32,MUNI-ARIMA,12,12
33,EuroCOVIDhub-baseline,1,12
33,ICM-agentModel,2,12
33,IEM_Health-CovidProject,3,12
33,ILM-EKF,4,12
33,ITWW-county_repro,5,12
33,MIMUW-StochSEIR,6,12
33,MIT_CovidAnalytics-DELPHI,7,12
33,MOCOS-agent1,8,12
33,RobertWalraven-ESG,9,12
33,epiforecasts-EpiExpert_Rt,10,12
33,epiforecasts-EpiExpert_direct,11,12
33,Karlen-pypm,12,12
34,EuroCOVIDhub-baseline,1,12
34,ICM-agentModel,2,12
34,IEM_Health-CovidProject,3,12
34,ILM-EKF,4,12
34,ITWW-county_repro,5,12
34,MIMUW-StochSEIR,6,12
34,MIT_CovidAnalytics-DELPHI,7,12
34,MOCOS-agent1,8,12
34,RobertWalraven-ESG,9,12
34,epiforecasts-EpiExpert_Rt,10,12
34,MUNI-ARIMA,11,12
34,Karlen-pypm,12,12
35,EuroCOVIDhub-baseline,1,12
35,ICM-agentModel,2,12
35,IEM_Health-CovidProject,3,12
35,ILM-EKF,4,12
35,ITWW-county_repro,5,12
35,MIMUW-StochSEIR,6,12
35,MIT_CovidAnalytics-DELPHI,7,12
35,MOCOS-agent1,8,12
35,RobertWalraven-ESG,9,12
35,epiforecasts-EpiExpert_direct,10,12
35,MUNI-ARIMA,11,12
35,Karlen-pypm,12,12
36,EuroCOVIDhub-baseline,1,12
36,ICM-agentModel,2,12
36,IEM_Health-CovidProject,3,12
36,ILM-EKF,4,12
36,ITWW-county_repro,5,12
36,MIMUW-StochSEIR,6,12
36,MIT_CovidAnalytics-DELPHI,7,12
