ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,3
1,IEM_Health-CovidProject,2,3
1,ILM-EKF,3,3
2,EuroCOVIDhub-baseline,1,3
2,IEM_Health-CovidProject,2,3
2,MUNI_DMS-SEIAR,3,3
3,EuroCOVIDhub-baseline,1,3
3,IEM_Health-CovidProject,2,3
3,epiforecasts-EpiNow2,3,3
4,EuroCOVIDhub-baseline,1,3
4,IEM_Health-CovidProject,2,3
4,MUNI-ARIMA,3,3
5,EuroCOVIDhub-baseline,1,3
5,IEM_Health-CovidProject,2,3
5,RobertWalraven-ESG,3,3
6,EuroCOVIDhub-baseline,1,3
6,ILM-EKF,2,3
6,MUNI_DMS-SEIAR,3,3
7,EuroCOVIDhub-baseline,1,3
7,ILM-EKF,2,3
7,epiforecasts-EpiNow2,3,3
8,EuroCOVIDhub-baseline,1,3
8,ILM-EKF,2,3
8,MUNI-ARIMA,3,3
9,EuroCOVIDhub-baseline,1,3
9,ILM-EKF,2,3
9,RobertWalraven-ESG,3,3
10,EuroCOVIDhub-baseline,1,3
10,MUNI_DMS-SEIAR,2,3
10,epiforecasts-EpiNow2,3,3
11,EuroCOVIDhub-baseline,1,3
11,MUNI_DMS-SEIAR,2,3
11,MUNI-ARIMA,3,3
12,EuroCOVIDhub-baseline,1,3
12,MUNI_DMS-SEIAR,2,3
12,RobertWalraven-ESG,3,3
13,EuroCOVIDhub-baseline,1,3
13,epiforecasts-EpiNow2,2,3
13,MUNI-ARIMA,3,3
14,EuroCOVIDhub-baseline,1,3
14,epiforecasts-EpiNow2,2,3
14,RobertWalraven-ESG,3,3
15,EuroCOVIDhub-baseline,1,3
15,MUNI-ARIMA,2,3
15,RobertWalraven-ESG,3,3
16,IEM_Health-CovidProject,1,3
16,ILM-EKF,2,3
16,MUNI_DMS-SEIAR,3,3
17,IEM_Health-CovidProject,1,3
17,ILM-EKF,2,3
17,epiforecasts-EpiNow2,3,3
18,IEM_Health-CovidProject,1,3
18,ILM-EKF,2,3
18,MUNI-ARIMA,3,3
19,IEM_Health-CovidProject,1,3
19,ILM-EKF,2,3
19,RobertWalraven-ESG,3,3
20,IEM_Health-CovidProject,1,3
20,MUNI_DMS-SEIAR,2,3
20,epiforecasts-EpiNow2,3,3
21,IEM_Health-CovidProject,1,3
21,MUNI_DMS-SEIAR,2,3
21,MUNI-ARIMA,3,3
22,IEM_Health-CovidProject,1,3
22,MUNI_DMS-SEIAR,2,3
22,RobertWalraven-ESG,3,3
23,IEM_Health-CovidProject,1,3
23,epiforecasts-EpiNow2,2,3
23,MUNI-ARIMA,3,3
24,IEM_Health-CovidProject,1,3
24,epiforecasts-EpiNow2,2,3
24,RobertWalraven-ESG,3,3
25,IEM_Health-CovidProject,1,3
25,MUNI-ARIMA,2,3
25,RobertWalraven-ESG,3,3
26,ILM-EKF,1,3
26,MUNI_DMS-SEIAR,2,3
26,epiforecasts-EpiNow2,3,3
27,ILM-EKF,1,3
27,MUNI_DMS-SEIAR,2,3
27,MUNI-ARIMA,3,3
28,ILM-EKF,1,3
28,MUNI_DMS-SEIAR,2,3
28,RobertWalraven-ESG,3,3
29,ILM-EKF,1,3
29,epiforecasts-EpiNow2,2,3
29,MUNI-ARIMA,3,3
30,ILM-EKF,1,3
30,epiforecasts-EpiNow2,2,3
30,RobertWalraven-ESG,3,3
31,ILM-EKF,1,3
31,MUNI-ARIMA,2,3
31,RobertWalraven-ESG,3,3
32,MUNI_DMS-SEIAR,1,3
32,epiforecasts-EpiNow2,2,3
32,MUNI-ARIMA,3,3
33,MUNI_DMS-SEIAR,1,3
33,epiforecasts-EpiNow2,2,3
33,RobertWalraven-ESG,3,3
34,MUNI_DMS-SEIAR,1,3
34,MUNI-ARIMA,2,3
34,RobertWalraven-ESG,3,3
35,epiforecasts-EpiNow2,1,3
35,MUNI-ARIMA,2,3
35,RobertWalraven-ESG,3,3
