ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,5
1,IEM_Health-CovidProject,2,5
1,ILM-EKF,3,5
1,epiforecasts-EpiNow2,4,5
1,MUNI-ARIMA,5,5
2,EuroCOVIDhub-baseline,1,5
2,IEM_Health-CovidProject,2,5
2,ILM-EKF,3,5
2,epiforecasts-EpiNow2,4,5
2,RobertWalraven-ESG,5,5
3,EuroCOVIDhub-baseline,1,5
3,IEM_Health-CovidProject,2,5
3,ILM-EKF,3,5
3,MUNI-ARIMA,4,5
3,RobertWalraven-ESG,5,5
4,EuroCOVIDhub-baseline,1,5
4,IEM_Health-CovidProject,2,5
4,epiforecasts-EpiNow2,3,5
4,MUNI-ARIMA,4,5
4,RobertWalraven-ESG,5,5
5,EuroCOVIDhub-baseline,1,5
5,ILM-EKF,2,5
5,epiforecasts-EpiNow2,3,5
5,MUNI-ARIMA,4,5
5,RobertWalraven-ESG,5,5
6,IEM_Health-CovidProject,1,5
6,ILM-EKF,2,5
6,epiforecasts-EpiNow2,3,5
6,MUNI-ARIMA,4,5
6,RobertWalraven-ESG,5,5
