ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,3
1,ICM-agentModel,2,3
1,IEM_Health-CovidProject,3,3
2,EuroCOVIDhub-baseline,1,3
2,ICM-agentModel,2,3
2,ILM-EKF,3,3
3,EuroCOVIDhub-baseline,1,3
3,ICM-agentModel,2,3
3,ITWW-county_repro,3,3
4,EuroCOVIDhub-baseline,1,3
4,ICM-agentModel,2,3
4,MIT_CovidAnalytics-DELPHI,3,3
5,EuroCOVIDhub-baseline,1,3
5,ICM-agentModel,2,3
5,MOCOS-agent1,3,3
6,EuroCOVIDhub-baseline,1,3
6,ICM-agentModel,2,3
6,RobertWalraven-ESG,3,3
7,EuroCOVIDhub-baseline,1,3
7,ICM-agentModel,2,3
7,epiforecasts-EpiNow2,3,3
8,EuroCOVIDhub-baseline,1,3
8,ICM-agentModel,2,3
8,UMass-MechBayes,3,3
9,EuroCOVIDhub-baseline,1,3
9,ICM-agentModel,2,3
9,MUNI-ARIMA,3,3
10,EuroCOVIDhub-baseline,1,3
10,IEM_Health-CovidProject,2,3
10,ILM-EKF,3,3
11,EuroCOVIDhub-baseline,1,3
11,IEM_Health-CovidProject,2,3
11,ITWW-county_repro,3,3
12,EuroCOVIDhub-baseline,1,3
12,IEM_Health-CovidProject,2,3
12,MIT_CovidAnalytics-DELPHI,3,3
13,EuroCOVIDhub-baseline,1,3
13,IEM_Health-CovidProject,2,3
13,MOCOS-agent1,3,3
14,EuroCOVIDhub-baseline,1,3
14,IEM_Health-CovidProject,2,3
14,RobertWalraven-ESG,3,3
15,EuroCOVIDhub-baseline,1,3
15,IEM_Health-CovidProject,2,3
15,epiforecasts-EpiNow2,3,3
16,EuroCOVIDhub-baseline,1,3
16,IEM_Health-CovidProject,2,3
16,UMass-MechBayes,3,3
17,EuroCOVIDhub-baseline,1,3
17,IEM_Health-CovidProject,2,3
17,MUNI-ARIMA,3,3
18,EuroCOVIDhub-baseline,1,3
18,ILM-EKF,2,3
18,ITWW-county_repro,3,3
19,EuroCOVIDhub-baseline,1,3
19,ILM-EKF,2,3
19,MIT_CovidAnalytics-DELPHI,3,3
20,EuroCOVIDhub-baseline,1,3
20,ILM-EKF,2,3
20,MOCOS-agent1,3,3
21,EuroCOVIDhub-baseline,1,3
21,ILM-EKF,2,3
21,RobertWalraven-ESG,3,3
22,EuroCOVIDhub-baseline,1,3
22,ILM-EKF,2,3
22,epiforecasts-EpiNow2,3,3
23,EuroCOVIDhub-baseline,1,3
23,ILM-EKF,2,3
23,UMass-MechBayes,3,3
24,EuroCOVIDhub-baseline,1,3
24,ILM-EKF,2,3
24,MUNI-ARIMA,3,3
25,EuroCOVIDhub-baseline,1,3
25,ITWW-county_repro,2,3
25,MIT_CovidAnalytics-DELPHI,3,3
26,EuroCOVIDhub-baseline,1,3
26,ITWW-county_repro,2,3
26,MOCOS-agent1,3,3
27,EuroCOVIDhub-baseline,1,3
27,ITWW-county_repro,2,3
27,RobertWalraven-ESG,3,3
28,EuroCOVIDhub-baseline,1,3
28,ITWW-county_repro,2,3
28,epiforecasts-EpiNow2,3,3
29,EuroCOVIDhub-baseline,1,3
29,ITWW-county_repro,2,3
29,UMass-MechBayes,3,3
30,EuroCOVIDhub-baseline,1,3
30,ITWW-county_repro,2,3
30,MUNI-ARIMA,3,3
31,EuroCOVIDhub-baseline,1,3
31,MIT_CovidAnalytics-DELPHI,2,3
31,MOCOS-agent1,3,3
32,EuroCOVIDhub-baseline,1,3
32,MIT_CovidAnalytics-DELPHI,2,3
32,RobertWalraven-ESG,3,3
33,EuroCOVIDhub-baseline,1,3
33,MIT_CovidAnalytics-DELPHI,2,3
33,epiforecasts-EpiNow2,3,3
34,EuroCOVIDhub-baseline,1,3
34,MIT_CovidAnalytics-DELPHI,2,3
34,UMass-MechBayes,3,3
35,EuroCOVIDhub-baseline,1,3
35,MIT_CovidAnalytics-DELPHI,2,3
35,MUNI-ARIMA,3,3
36,EuroCOVIDhub-baseline,1,3
36,MOCOS-agent1,2,3
36,RobertWalraven-ESG,3,3
37,EuroCOVIDhub-baseline,1,3
37,MOCOS-agent1,2,3
37,epiforecasts-EpiNow2,3,3
38,EuroCOVIDhub-baseline,1,3
38,MOCOS-agent1,2,3
38,UMass-MechBayes,3,3
39,EuroCOVIDhub-baseline,1,3
39,MOCOS-agent1,2,3
39,MUNI-ARIMA,3,3
40,EuroCOVIDhub-baseline,1,3
40,RobertWalraven-ESG,2,3
40,epiforecasts-EpiNow2,3,3
41,EuroCOVIDhub-baseline,1,3
41,RobertWalraven-ESG,2,3
41,UMass-MechBayes,3,3
42,EuroCOVIDhub-baseline,1,3
42,RobertWalraven-ESG,2,3
42,MUNI-ARIMA,3,3
43,EuroCOVIDhub-baseline,1,3
43,epiforecasts-EpiNow2,2,3
43,UMass-MechBayes,3,3
44,EuroCOVIDhub-baseline,1,3
44,epiforecasts-EpiNow2,2,3
44,MUNI-ARIMA,3,3
45,EuroCOVIDhub-baseline,1,3
45,UMass-MechBayes,2,3
45,MUNI-ARIMA,3,3
46,ICM-agentModel,1,3
46,IEM_Health-CovidProject,2,3
46,ILM-EKF,3,3
47,ICM-agentModel,1,3
47,IEM_Health-CovidProject,2,3
47,ITWW-county_repro,3,3
48,ICM-agentModel,1,3
48,IEM_Health-CovidProject,2,3
48,MIT_CovidAnalytics-DELPHI,3,3
49,ICM-agentModel,1,3
49,IEM_Health-CovidProject,2,3
49,MOCOS-agent1,3,3
50,ICM-agentModel,1,3
50,IEM_Health-CovidProject,2,3
50,RobertWalraven-ESG,3,3
51,ICM-agentModel,1,3
51,IEM_Health-CovidProject,2,3
51,epiforecasts-EpiNow2,3,3
52,ICM-agentModel,1,3
52,IEM_Health-CovidProject,2,3
52,UMass-MechBayes,3,3
53,ICM-agentModel,1,3
53,IEM_Health-CovidProject,2,3
53,MUNI-ARIMA,3,3
54,ICM-agentModel,1,3
54,ILM-EKF,2,3
54,ITWW-county_repro,3,3
55,ICM-agentModel,1,3
55,ILM-EKF,2,3
55,MIT_CovidAnalytics-DELPHI,3,3
56,ICM-agentModel,1,3
56,ILM-EKF,2,3
56,MOCOS-agent1,3,3
57,ICM-agentModel,1,3
57,ILM-EKF,2,3
57,RobertWalraven-ESG,3,3
58,ICM-agentModel,1,3
58,ILM-EKF,2,3
58,epiforecasts-EpiNow2,3,3
59,ICM-agentModel,1,3
59,ILM-EKF,2,3
59,UMass-MechBayes,3,3
60,ICM-agentModel,1,3
60,ILM-EKF,2,3
60,MUNI-ARIMA,3,3
