model,location,target_type,weights,forecast_date,nmod
DSMPG-bayes,FR,Cases,0.265189341188287,2021-04-12,3
FIAS_FZJ-Epi1Ger,DE,Cases,0.346915410500878,2021-04-12,3
ICM-agentModel,PL,Cases,0.291797813421352,2021-04-12,3
IEM_Health-CovidProject,DE,Cases,0.3353422412529,2021-04-12,3
IEM_Health-CovidProject,FR,Deaths,0.308035478073596,2021-04-12,3
IEM_Health-CovidProject,GB,Cases,0.37104478404759,2021-04-12,3
IEM_Health-CovidProject,GB,Deaths,0.200794954832941,2021-04-12,3
ILM-EKF,CZ,Cases,0.303544450194307,2021-04-12,3
ILM-EKF,CZ,Deaths,0.361549209782902,2021-04-12,3
ILM-EKF,FR,Deaths,0.365545310662338,2021-04-12,3
ILM-EKF,GB,Cases,0.326175172591773,2021-04-12,3
ILM-EKF,GB,Deaths,0.331620932278211,2021-04-12,3
MIMUW-StochSEIR,PL,Deaths,0.235191108475543,2021-04-12,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.257752371576267,2021-04-12,3
MOCOS-agent1,PL,Cases,0.44372191807179,2021-04-12,3
MOCOS-agent1,PL,Deaths,0.423092754868544,2021-04-12,3
MUNI_DMS-SEIAR,CZ,Cases,0.403422259079511,2021-04-12,3
RobertWalraven-ESG,CZ,Deaths,0.156326523981399,2021-04-12,3
epiforecasts-EpiExpert,DE,Deaths,0.43658587830392,2021-04-12,3
epiforecasts-EpiExpert,FR,Cases,0.405980266928662,2021-04-12,3
epiforecasts-EpiExpert,FR,Deaths,0.326419211264067,2021-04-12,3
epiforecasts-EpiExpert,GB,Deaths,0.467584112888848,2021-04-12,3
epiforecasts-EpiExpert,PL,Cases,0.264480268506857,2021-04-12,3
epiforecasts-EpiExpert,PL,Deaths,0.341716136655914,2021-04-12,3
epiforecasts-EpiNow2,CZ,Cases,0.293033290726182,2021-04-12,3
epiforecasts-EpiNow2,CZ,Deaths,0.482124266235699,2021-04-12,3
epiforecasts-EpiNow2,DE,Cases,0.317742348246221,2021-04-12,3
epiforecasts-EpiNow2,FR,Cases,0.328830391883051,2021-04-12,3
epiforecasts-EpiNow2,GB,Cases,0.302780043360637,2021-04-12,3
itwm-dSEIR,DE,Deaths,0.305661750119814,2021-04-12,3
DSMPG-bayes,CZ,Cases,0.338403454099699,2021-04-19,3
ICM-agentModel,PL,Cases,0.2556978779721,2021-04-19,3
IEM_Health-CovidProject,DE,Cases,0.375602490942763,2021-04-19,3
IEM_Health-CovidProject,FR,Deaths,0.349108159874024,2021-04-19,3
IEM_Health-CovidProject,GB,Cases,0.40362791292948,2021-04-19,3
ILM-EKF,CZ,Cases,0.34267903287573,2021-04-19,3
ILM-EKF,CZ,Deaths,0.34081731124377,2021-04-19,3
ILM-EKF,GB,Cases,0.289503348704803,2021-04-19,3
ILM-EKF,GB,Deaths,0.351031465645589,2021-04-19,3
MIMUW-StochSEIR,PL,Deaths,0.230214435234404,2021-04-19,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.314511597607097,2021-04-19,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.34366924165996,2021-04-19,3
MOCOS-agent1,PL,Cases,0.594761423859583,2021-04-19,3
MOCOS-agent1,PL,Deaths,0.429429158353292,2021-04-19,3
MUNI_DMS-SEIAR,CZ,Cases,0.318917513024571,2021-04-19,3
RobertWalraven-ESG,FR,Deaths,0.374189732147162,2021-04-19,3
UMass-MechBayes,FR,Deaths,0.276702107978814,2021-04-19,3
UMass-MechBayes,GB,Deaths,0.240574541928951,2021-04-19,3
UMass-SemiMech,CZ,Deaths,0.306715649907656,2021-04-19,3
UMass-SemiMech,DE,Cases,0.30988591145014,2021-04-19,3
UMass-SemiMech,DE,Deaths,0.288647010125995,2021-04-19,3
UMass-SemiMech,FR,Cases,0.265231383001609,2021-04-19,3
UNIPV-BayesINGARCHX,FR,Cases,0.376946538283361,2021-04-19,3
epiforecasts-EpiExpert,DE,Deaths,0.367683748214045,2021-04-19,3
epiforecasts-EpiExpert,GB,Deaths,0.40839399242546,2021-04-19,3
epiforecasts-EpiExpert,PL,Cases,0.149540698168318,2021-04-19,3
epiforecasts-EpiExpert,PL,Deaths,0.340356406412303,2021-04-19,3
epiforecasts-EpiNow2,CZ,Deaths,0.352467038848574,2021-04-19,3
epiforecasts-EpiNow2,FR,Cases,0.357822078715029,2021-04-19,3
epiforecasts-EpiNow2,GB,Cases,0.306868738365717,2021-04-19,3
ICM-agentModel,PL,Cases,0.253605439642251,2021-04-26,3
IEM_Health-CovidProject,DE,Cases,0.290680790693996,2021-04-26,3
IEM_Health-CovidProject,FR,Deaths,0.203214308977275,2021-04-26,3
IEM_Health-CovidProject,GB,Cases,0.38941220037149,2021-04-26,3
ILM-EKF,CZ,Cases,0.43728791749148,2021-04-26,3
ILM-EKF,CZ,Deaths,0.318114268130731,2021-04-26,3
ILM-EKF,GB,Deaths,0.350828770827343,2021-04-26,3
MIMUW-StochSEIR,PL,Deaths,0.211786793863282,2021-04-26,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.290442914696228,2021-04-26,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.349390911823818,2021-04-26,3
MOCOS-agent1,PL,Cases,0.603552896971404,2021-04-26,3
MOCOS-agent1,PL,Deaths,0.351446119734611,2021-04-26,3
RobertWalraven-ESG,FR,Deaths,0.609200802874406,2021-04-26,3
UMass-MechBayes,FR,Deaths,0.18758488814832,2021-04-26,3
UMass-SemiMech,CZ,Cases,0.210864415103809,2021-04-26,3
UMass-SemiMech,CZ,Deaths,0.274820542623971,2021-04-26,3
UMass-SemiMech,DE,Deaths,0.313669076769798,2021-04-26,3
UMass-SemiMech,FR,Cases,0.328383652732351,2021-04-26,3
UMass-SemiMech,GB,Cases,0.254403151518582,2021-04-26,3
epiforecasts-EpiExpert,DE,Cases,0.418876294609776,2021-04-26,3
epiforecasts-EpiExpert,DE,Deaths,0.336940011406384,2021-04-26,3
epiforecasts-EpiExpert,FR,Cases,0.315931096054286,2021-04-26,3
epiforecasts-EpiExpert,GB,Deaths,0.342569730943585,2021-04-26,3
epiforecasts-EpiExpert,PL,Deaths,0.436767086402107,2021-04-26,3
epiforecasts-EpiNow2,CZ,Cases,0.351847667404711,2021-04-26,3
epiforecasts-EpiNow2,CZ,Deaths,0.407065189245298,2021-04-26,3
epiforecasts-EpiNow2,FR,Cases,0.355685251213363,2021-04-26,3
epiforecasts-EpiNow2,GB,Cases,0.356184648109928,2021-04-26,3
epiforecasts-EpiNow2,GB,Deaths,0.306601498229073,2021-04-26,3
epiforecasts-EpiNow2,PL,Cases,0.142841663386345,2021-04-26,3
IEM_Health-CovidProject,GB,Cases,0.508978592627175,2021-05-03,3
ILM-EKF,CZ,Cases,0.415018207257543,2021-05-03,3
ILM-EKF,DE,Deaths,0.323298072663465,2021-05-03,3
ILM-EKF,FR,Cases,0.341594793610842,2021-05-03,3
ILM-EKF,FR,Deaths,0.229011295762027,2021-05-03,3
ILM-EKF,GB,Deaths,0.330588527335199,2021-05-03,3
ILM-EKF,PL,Cases,0.121390706986101,2021-05-03,3
ILM-EKF,PL,Deaths,0.248988022120638,2021-05-03,3
Karlen-pypm,DE,Cases,0.332504690077954,2021-05-03,3
Karlen-pypm,DE,Deaths,0.393179682575471,2021-05-03,3
MOCOS-agent1,PL,Cases,0.392412587196461,2021-05-03,3
MOCOS-agent1,PL,Deaths,0.507608097184253,2021-05-03,3
RobertWalraven-ESG,CZ,Deaths,0.412005977259193,2021-05-03,3
RobertWalraven-ESG,FR,Deaths,0.612468058563636,2021-05-03,3
